<doc id="edoc_wd_1730-03-22" attrs="word" year="1730" month="03" day="22" corpus="1">
<head id="hl2">
Mit	w17
Ehw	w3622
<g/>
.
Catharina	w3624
<g/>
/
in	w3626
dem	w3627
Rosenbergischen	w3628
Haus	w3629
<g/>
/
auf	w3631
der	w3632
Hohen	w3633
<g/>
=
Brucken	w3635
<g/>
/
alt	w3637
64	w3638
<g/>
.
J	w3640
<g/>
.
Johann	w3642
Lammel	w3643
<g/>
/
Burgerl	w3645
<g/>
.
Bier	w3647
<g/>
=
Leutgeb	w3649
<g/>
/
in	w3651
dem	w3652
Hagerischen	w3653
Haus	w3654
<g/>
/
am	w3656
Saltzgries	w3657
<g/>
/
alt	w3659
36	w3660
<g/>
.
J	w3662
<g/>
.
Dem	w3664
Paul	w3665
Hoffer	w3666
<g/>
/
Kaiserl	w3668
<g/>
.
Cammer	w3670
<g/>
=
Fourier	w3672
-Tragern	w3673
<g/>
/
s	w3675
<g/>
.
K	w3677
<g/>
.
Paul	w3679
<g/>
/
bey	w3681
der	w3682
schwartzen	w3683
Pürsten	w3684
<g/>
/
alt	w3686
2	w3687
<g/>
.
J	w3689
<g/>
.
</list>
<head id="hl20">
Vor	w3691
der	w3692
Stadt	w3693
<g/>
.
</head>
<list id="">
Maria	w3695
Rosina	w3696
Sabloniere	w3697
<g/>
,
Witwe	w3699
<g/>
/
bey	w3701
dem	w3702
schwar=zen	w3703
<g/>
=
Rössel	w3705
<g/>
/
am	w3707
Spitlberg	w3708
<g/>
/
alt	w3710
64	w3711
<g/>
.
J	w3713
<g/>
.
Rudolph	w3715
Christan	w3716
<g/>
/
Schuh	w3718
<g/>
=
macher	w3720
<g/>
/
in	w3722
dem	w3723
Neubaueri=schen	w3724
<g/>
=
Ziegel	w3726
<g/>
=
Ofen	w3728
<g/>
/
am	w3730
Alster	w3731
<g/>
=
Bach	w3733
<g/>
/
alt	w3735
47	w3736
<g/>
.
J	w3738
<g/>
.
Agnes	w3740
Steltzin	w3741
<g/>
/
lediges	w3743
Mensch	w3744
<g/>
/
bey	w3746
dem	w3747
weissen	w3748
Wol=fen	w3749
<g/>
=
<g/>
/
am	w3752
Spitlberg	w3753
<g/>
/
alt	w3755
18	w3756
<g/>
.
J	w3758
<g/>
.
Mathias	w3760
Neuwirt	w3761
<g/>
/
Absatz	w3763
<g/>
=
Paper	w3765
<g/>
/
in	w3767
dem	w3768
Steinmetzi=schen	w3769
<g/>
=
Haus	w3771
<g/>
/
ober	w3773
dem	w3774
Neustift	w3775
<g/>
/
alt	w3777
62	w3778
<g/>
.
J	w3780
<g/>
.
Rupert	w3782
Entzinger	w3783
<g/>
/
bey	w3785
denen	w3786
FF	w3787
<g/>
.
Misericordiæ Misericordiae	w3789
<g/>
,
alt	w3791
39	w3792
<g/>
.
J	w3794
<g/>
.
Jacob	w3796
Brandstetter	w3797
<g/>
/
Zimmer	w3799
<g/>
=
Gesell	w3801
<g/>
/
in	w3803
dem	w3804
Hand=schuhmacherischen	w3805
<g/>
=
Haus	w3807
<g/>
/
im	w3809
Liechtenthal	w3810
<g/>
/
alt	w3812
42	w3813
<g/>
.
J	w3815
<g/>
.
Georg	w3817
Koch	w3818
<g/>
/
alt	w3820
36	w3821
<g/>
.
J	w3823
<g/>
.
Sebastian	w3825
Krammer	w3826
<g/>
/
alt	w3828
28	w3829
<g/>
.
J	w3831
<g/>
.
Georg	w3833
Weigl	w3834
<g/>
/
alt	w3836
70	w3837
<g/>
.
J	w3839
<g/>
.
Und	w3841
Martin	w3842
Beyer	w3843
<g/>
/
alt	w3845
44	w3846
<g/>
.
J	w3848
<g/>
.
<g/>
/
alle	w3851
4	w3852
<g/>
.
in	w3854
dem	w3855
Kranken	w3856
<g/>
=
Haus	w3858
<g/>
.
</list>
<head id="hl21">
Den	w3860
19	w3861
<g/>
.
Martii	w3863
<g/>
.
</head>
<head id="hl22">
Jn	w3865
der	w3866
Stadt	w3867
<g/>
.
</head>
<list id="">
Dem	w3869
Herrn	w3870
Mathias	w3871
Kern	w3872
<g/>
/
Kaiserl	w3874
<g/>
.
Niderlags	w3876
<g/>
=
Ver=wandten	w3878
<g/>
=
<g/>
/
und	w3881
Deputirten	w3882
<g/>
/
sein	w3884
Jungfrau	w3885
Tochter	w3886
Jsabella	w3887
Maria	w3888
<g/>
/
im	w3890
Cöllner	w3891
<g/>
=
Hof	w3893
<g/>
/
alt	w3895
15	w3896
<g/>
.
J	w3898
<g/>
.
Johann	w3900
Weisenstein	w3901
<g/>
/
Lehen	w3903
<g/>
=
Kutscher	w3905
<g/>
/
in	w3907
dem	w3908
Ber=tramischen	w3909
<g/>
=
Haus	w3911
<g/>
/
im	w3913
Ofenloch	w3914
<g/>
/
alt	w3916
53	w3917
<g/>
.
J	w3919
<g/>
.
</list>
<head id="hl23">
Vor	w3921
der	w3922
Stadt	w3923
<g/>
.
</head>
<list id="">
Dem	w3925
Antoni	w3926
Weigl	w3927
<g/>
/
Bildhauern	w3929
<g/>
/
s	w3931
<g/>
.
K	w3933
<g/>
.
Anna	w3935
<g/>
/
in	w3937
sein	w3938
Haus	w3939
<g/>
/
zu	w3941
Gumpendorf	w3942
<g/>
/
alt	w3944
7	w3945
<g/>
.
J	w3947
<g/>
.
Kilian	w3949
Michel	w3950
<g/>
/
Herrn	w3952
<g/>
=
Koch	w3954
<g/>
/
bey	w3956
dem	w3957
golden	w3958
Schlissel	w3959
<g/>
/
in	w3961
der	w3962
Alster	w3963
<g/>
=
Gassen	w3965
<g/>
/
alt	w3967
41	w3968
<g/>
.
J	w3970
<g/>
.
Mathias	w3972
Grasser	w3973
<g/>
/
Schul	w3975
<g/>
=
Meister	w3977
<g/>
/
bey	w3979
denen	w3980
7	w3981
<g/>
.
Kör=ben	w3983
<g/>
=
<g/>
/
am	w3986
Spitlberg	w3987
<g/>
/
alt	w3989
52	w3990
<g/>
.
J	w3992
<g/>
.
Stephan	w3994
Russenhammer	w3995
<g/>
/
Lust	w3997
<g/>
=
Gartner	w3999
<g/>
/
in	w4001
dem	w4002
Hof	w4003
<g/>
=
Spitaler	w4005
<g/>
=
Garten	w4007
<g/>
/
im	w4009
Lerchfeld	w4010
<g/>
/
alt	w4012
60	w4013
<g/>
.
J	w4015
<g/>
.
Maria	w4017
Catharina	w4018
Göldingerin	w4019
<g/>
/
Wittwe	w4021
<g/>
/
bey	w4023
der	w4024
weis=sen	w4025
<g/>
=
Rosen	w4027
<g/>
/
im	w4029
Liechtenthal	w4030
<g/>
/
alt	w4032
42	w4033
<g/>
.
J	w4035
<g/>
.
Dem	w4037
Georg	w4038
Schefener	w4039
<g/>
/
Schneidern	w4041
<g/>
/
s	w4043
<g/>
.
W	w4045
<g/>
.
Catharina	w4047
<g/>
/
bey	w4049
denen	w4050
3	w4051
<g/>
.
Mohren	w4053
<g/>
/
in	w4055
der	w4056
Joseph	w4057
<g/>
=
Stadt	w4059
<g/>
/
alt	w4061
30	w4062
<g/>
.
J	w4064
<g/>
.
Elisabeth	w4066
Gundnerin	w4067
<g/>
/
Wittwe	w4069
<g/>
/
bey	w4071
dem	w4072
golden	w4073
Straus=sen	w4074
<g/>
=
<g/>
/
in	w4077
der	w4078
Joseph	w4079
<g/>
=
Stadt	w4081
<g/>
/
alt	w4083
70	w4084
<g/>
.
J	w4086
<g/>
.
Dem	w4088
Philipp	w4089
Hoppinger	w4090
<g/>
/
Lackeyen	w4092
<g/>
/
s	w4094
<g/>
.
W	w4096
<g/>
.
Clara	w4098
<g/>
/
bey	w4100
denen	w4101
2	w4102
<g/>
.
Artitschocken	w4104
<g/>
/
in	w4106
der	w4107
Leopold	w4108
<g/>
=
Stadt	w4110
<g/>
/
alt	w4112
30	w4113
<g/>
.
J	w4115
<g/>
.
Der	w4117
Anna	w4118
Wurmannin	w4119
<g/>
/
Wittwe	w4121
<g/>
/
ihr	w4123
Kind	w4124
Andre	w4125
<g/>
/
bey	w4127
denen	w4128
3	w4129
<g/>
.
Engelen	w4131
<g/>
/
im	w4133
Lerchfeld	w4134
<g/>
/
alt	w4136
5	w4137
<g/>
.
Viertel	w4139
J	w4140
<g/>
.
Dem	w4142
Johann	w4143
Wecker	w4144
<g/>
/
Schuh	w4146
<g/>
=
machern	w4148
<g/>
/
s	w4150
<g/>
.
W	w4152
<g/>
.
Elisa=beth	w4154
<g/>
=
<g/>
/
bey	w4157
dem	w4158
schön	w4159
Ladl	w4160
<g/>
/
am	w4162
Neustift	w4163
<g/>
/
alt	w4165
40	w4166
<g/>
.
J	w4168
<g/>
.
Johann	w4170
Schweighoffer	w4171
<g/>
/
Zimmer	w4173
<g/>
=
Gesell	w4175
<g/>
/
bey	w4177
St	w4178
<g/>
.
Flo=rian	w4180
<g/>
=
<g/>
/
am	w4183
Neubau	w4184
<g/>
/
alt	w4186
45	w4187
<g/>
.
J	w4189
<g/>
.
Simon	w4191
Gnitz	w4192
<g/>
/
Fuhr	w4194
<g/>
=
Knecht	w4196
<g/>
/
in	w4198
dem	w4199
Mühlerischen	w4200
Haus	w4201
<g/>
/
in	w4203
der	w4204
Leopold	w4205
<g/>
=
Stadt	w4207
<g/>
/
alt	w4209
39	w4210
<g/>
.
J	w4212
<g/>
.
Johann	w4214
Lex	w4215
<g/>
/
alt	w4217
25	w4218
<g/>
.
J	w4220
<g/>
.
Wolfgang	w4222
Eireiner	w4223
<g/>
/
alt	w4225
60	w4226
<g/>
.
J	w4228
<g/>
.
beede	w4230
in	w4231
dem	w4232
Kranken	w4233
<g/>
=
Haus	w4235
<g/>
.
Frantz	w4237
N	w4238
<g/>
.
<g/>
/
alt	w4241
33	w4242
<g/>
.
Jahr	w4244
<g/>
.
Magdalena	w4246
N	w4247
<g/>
.
<g/>
/
alt	w4250
20	w4251
<g/>
.
Jahr	w4253
<g/>
.
und	w4255
Maria	w4256
N	w4257
<g/>
.
<g/>
/
alt	w4260
23	w4261
<g/>
.
Jahr	w4263
<g/>
/
alle	w4265
3	w4266
<g/>
.
zu	w4268
St	w4269
<g/>
.
Marx	w4271
<g/>
.
</list>
<head id="hl24">
Den	w4274
20	w4275
<g/>
.
Martii	w4277
<g/>
.
</head>
<head id="hl25">
Jn	w4279
der	w4280
Stadt	w4281
<g/>
.
</head>
<list id="">
Der	w4283
Wahl	w4284
<g/>
=
Ehrw	w4286
<g/>
.
in	w4288
GOtt	w4289
Geistlicher	w4290
Herr	w4291
Johann	w4292
Baptist	w4293
Banagia	w4294
<g/>
,
Kaiserl	w4296
<g/>
.
Antiquitäten	w4298
<g/>
=
und	w4300
Mo- dallien	w4301
<g/>
-
<g/>
=
Inspector	w4304
<g/>
,
in	w4306
dem	w4307
Hillebrandischen	w4308
Haus	w4309
<g/>
/
am	w4311
Kohl	w4312
<g/>
=
Mark	w4314
<g/>
/
alt	w4316
58	w4317
<g/>
.
J	w4319
<g/>
.
Dem	w4321
Herrn	w4322
Johann	w4323
Gregori	w4324
Braun	w4325
<g/>
/
Kaiserl	w4327
<g/>
.
Hof	w4329
<g/>
=
Krieges	w4331
<g/>
=
Cantzley	w4333
<g/>
=
Dienern	w4335
<g/>
/
s	w4337
<g/>
.
T	w4339
<g/>
.
Maria	w4341
Anna	w4342
<g/>
/
in	w4344
dem	w4345
Kaiserl	w4346
<g/>
.
Zeug	w4348
<g/>
=
Haus	w4350
<g/>
/
auf	w4352
der	w4353
Seilerstatt	w4354
<g/>
/
alt	w4356
19	w4357
<g/>
.
J	w4359
<g/>
.
Christian	w4361
Brukner	w4362
<g/>
/
Universitäts	w4364
<g/>
=
Buchführer	w4366
<g/>
/
bey	w4368
dem	w4369
golden	w4370
Creutz	w4371
<g/>
/
am	w4373
roten	w4374
Thurn	w4375
<g/>
/
alt	w4377
68	w4378
<g/>
.
J	w4380
<g/>
.
Simon	w4382
Kein	w4383
<g/>
/
Kutscher	w4385
<g/>
/
in	w4387
dem	w4388
Liechtensteinischen	w4389
Haus	w4390
<g/>
/
in	w4392
der	w4393
Herrn	w4394
<g/>
=
Gassen	w4396
<g/>
/
alt	w4398
32	w4399
<g/>
.
J	w4401
<g/>
.
</list>
<head id="hl26">
Vor	w4403
der	w4404
Stadt	w4405
<g/>
.
</head>
<list id="">
Augustin	w4407
Rott	w4408
<g/>
/
des	w4410
Löbl	w4411
<g/>
.
Zumjungischen	w4413
Regiment	w4414
<g/>
=
Fourier	w4416
<g/>
,
bey	w4418
dem	w4419
weissen	w4420
Rössel	w4421
<g/>
/
in	w4423
der	w4424
Leopold	w4425
<g/>
=
Stadt	w4427
<g/>
/
alt	w4429
42	w4430
<g/>
.
J	w4432
<g/>
.
Dem	w4434
Joseph	w4435
Barveto	w4436
<g/>
/
Burgerl	w4438
<g/>
.
Rauchfangkehrern	w4440
<g/>
/
sein	w4442
Stief	w4443
<g/>
=
Kind	w4445
Maria	w4446
Eva	w4447
Martinolin	w4448
<g/>
/
bey	w4450
dem	w4451
golden	w4452
Sieb	w4453
<g/>
/
auf	w4455
der	w4456
Wieden	w4457
<g/>
/
alt	w4459
3	w4460
<g/>
.
J	w4462
<g/>
.
Dem	w4464
Antoni	w4465
Ziegler	w4466
<g/>
/
Färbern	w4468
<g/>
/
s	w4470
<g/>
.
K	w4472
<g/>
.
Polixena	w4474
<g/>
/
bey	w4476
dem	w4477
golden	w4478
Brunn	w4479
<g/>
/
am	w4481
Thurn	w4482
<g/>
/
alt	w4484
5	w4485
<g/>
.
Viertel	w4487
J	w4488
<g/>
.
Dem	w4490
Michael	w4491
Ordner	w4492
<g/>
/
Guardi	w4494
<g/>
=
Soldaten	w4496
<g/>
/
s	w4498
<g/>
.
W	w4500
<g/>
.
Maria	w4502
<g/>
/
bey	w4504
dem	w4505
braun	w4506
Adler	w4507
<g/>
/
ober	w4509
dem	w4510
Neustift	w4511
<g/>
/
alt	w4513
32	w4514
<g/>
.
J	w4516
<g/>
.
Christian	w4518
Ehrlich	w4519
<g/>
/
Spiel	w4521
<g/>
=
Mann	w4523
<g/>
/
bey	w4525
dem	w4526
golden	w4527
Stiefel	w4528
<g/>
/
im	w4530
Lerchfeld	w4531
<g/>
/
alt	w4533
29	w4534
<g/>
.
J	w4536
<g/>
.
Barbara	w4538
Schatzdorferin	w4539
<g/>
/
lediges	w4541
Mensch	w4542
<g/>
/
bey	w4544
der	w4545
golden	w4546
Sonn	w4547
<g/>
/
in	w4549
der	w4550
Leopold	w4551
<g/>
=
Stadt	w4553
<g/>
/
alt	w4555
68	w4556
<g/>
.
J	w4558
<g/>
.
Dem	w4560
Christoph	w4561
Gratzmann	w4562
<g/>
/
Tragern	w4564
<g/>
/
s	w4566
<g/>
.
K	w4568
<g/>
.
Elisabeth	w4570
<g/>
/
bey	w4572
dem	w4573
schwartzen	w4574
Bock	w4575
<g/>
/
im	w4577
Liechtenthal	w4578
<g/>
/
alt	w4580
5	w4581
<g/>
.
Viertel	w4583
J	w4584
<g/>
.
Dem	w4586
Benedict	w4587
Browiller	w4588
<g/>
/
Lackeyen	w4590
<g/>
/
s	w4592
<g/>
.
W	w4594
<g/>
.
Catharina	w4596
<g/>
/
bey	w4598
dem	w4599
golden	w4600
Pelican	w4601
<g/>
/
bey	w4603
St	w4604
<g/>
.
Ulrich	w4606
<g/>
/
alt	w4608
34	w4609
<g/>
.
J	w4611
<g/>
.
Johann	w4613
Hagen	w4614
<g/>
/
Kutscher	w4616
<g/>
/
bey	w4618
St	w4619
<g/>
.
Anton	w4621
<g/>
/
am	w4623
Neu=dan	w4624
<g/>
=
<g/>
/
alt	w4627
45	w4628
<g/>
.
Johann	w4630
Nidermayr	w4631
<g/>
/
alt	w4633
50	w4634
<g/>
.
Jahr	w4636
<g/>
.
Und	w4638
Margaretha	w4639
Edenhofferin	w4640
<g/>
/
alt	w4642
45	w4643
<g/>
.
J	w4645
<g/>
.
<g/>
/
beede	w4648
in	w4649
dem	w4650
Kranken	w4651
<g/>
=
H	w4653
<g/>
.
</list>
<head id="hl27">
Den	w4655
21	w4656
<g/>
.
Marti	w4658
<g/>
.
</head>
<head id="hl28">
Jn	w4660
der	w4661
Stadt	w4662
niemand	w4663
<g/>
.
</head>
<head id="hl29">
Vor	w4665
der	w4666
Stadt	w4667
<g/>
.
</head>
<list id="">
Frantz	w4669
Bretschneider	w4670
<g/>
/
Hof	w4672
<g/>
=
befreyeter	w4674
Schnürmacher	w4675
<g/>
/
in	w4677
seinem	w4678
Haus	w4679
<g/>
/
in	w4681
der	w4682
Leopold	w4683
<g/>
=
Stadt	w4685
<g/>
/
alt	w4687
41	w4688
<g/>
.
Dem	w4690
Kilian	w4691
Aichhorn	w4692
<g/>
/
Tapezierern	w4694
<g/>
/
s	w4696
<g/>
.
W	w4698
<g/>
.
Elisabeth	w4700
<g/>
/
in	w4702
dem	w4703
Chaosischen	w4704
Stift	w4705
<g/>
/
am	w4707
Spitlberg	w4708
<g/>
/
alt	w4710
56	w4711
<g/>
.
J	w4713
<g/>
.
Der	w4715
Barbara	w4716
Mühlerin	w4717
<g/>
/
Burgerl	w4719
<g/>
.
Wittwe	w4721
<g/>
/
ihr	w4723
Kind	w4724
Anna	w4725
<g/>
/
bey	w4727
dem	w4728
schwartzen	w4729
Thor	w4730
<g/>
/
in	w4732
der	w4733
Rossau	w4734
<g/>
/
alt	w4736
4	w4737
<g/>
.
J	w4739
<g/>
.
Dem	w4741
Wentzl	w4742
Hertulan	w4743
<g/>
/
Schuh	w4745
<g/>
=
machern	w4747
<g/>
/
s	w4749
<g/>
.
T	w4751
<g/>
.
Clara	w4753
<g/>
/
bey	w4755
dem	w4756
golden	w4757
Rössel	w4758
<g/>
/
in	w4760
der	w4761
Joseph	w4762
<g/>
=
Stadt	w4764
<g/>
/
alt	w4766
17	w4767
<g/>
.
J	w4769
<g/>
.
Michael	w4771
Mösinger	w4772
<g/>
/
Schnür	w4774
<g/>
=
macher	w4776
<g/>
/
bey	w4778
denen	w4779
3	w4780
<g/>
.
Bindern	w4782
<g/>
/
bey	w4784
Maria	w4785
<g/>
=
Hülf	w4787
<g/>
/
alt	w4789
29	w4790
<g/>
.
J	w4792
<g/>
.
Dem	w4794
Reichard	w4795
Kern	w4796
<g/>
/
Schuh	w4798
<g/>
=
machern	w4800
<g/>
/
s	w4802
<g/>
.
W	w4804
<g/>
.
Catha=rina	w4806
<g/>
=
<g/>
/
in	w4809
dem	w4810
Sterkmacherischen	w4811
Haus	w4812
<g/>
/
im	w4814
Lerch=feld	w4815
<g/>
=
<g/>
/
alt	w4818
33	w4819
<g/>
.
J	w4821
<g/>
.
</list>
<list id="">
Dem	w4823
Georg	w4824
Weber	w4825
<g/>
/
Burgerl	w4827
<g/>
.
Schwein	w4829
<g/>
=
Beschauern	w4831
<g/>
/
s	w4833
<g/>
.
W	w4835
<g/>
.
Anna	w4837
<g/>
/
bey	w4839
dem	w4840
blechern	w4841
Thurn	w4842
<g/>
/
auf	w4844
der	w4845
Wind	w4846
<g/>
=
Mühl	w4848
<g/>
/
alt	w4850
43	w4851
<g/>
.
J	w4853
<g/>
.
Johann	w4855
Burusch	w4856
<g/>
/
Lackey	w4858
<g/>
/
bey	w4860
dem	w4861
golden	w4862
Einhorn	w4863
<g/>
/
in	w4865
der	w4866
Joseph=	w4867
<g/>
=
<g/>
/
alt	w4870
70	w4871
<g/>
.
J	w4873
<g/>
.
Johann	w4875
Moser	w4876
<g/>
/
Lein	w4878
<g/>
=
Weber	w4880
<g/>
/
in	w4882
seinem	w4883
Haus	w4884
<g/>
/
zu	w4886
Gumpendorf	w4887
<g/>
/
alt	w4889
79	w4890
<g/>
.
J	w4892
<g/>
.
Mathias	w4894
Jabereck	w4895
<g/>
/
Brunn	w4897
<g/>
=
Knecht	w4899
<g/>
/
bey	w4901
der	w4902
blauen	w4903
Wein	w4904
<g/>
=
Trauben	w4906
<g/>
/
bey	w4908
Maria	w4909
<g/>
=
Hülf	w4911
<g/>
/
alt	w4913
56	w4914
<g/>
.
J	w4916
<g/>
.
Johann	w4918
Georg	w4919
Cronawetter	w4920
<g/>
/
Roß	w4922
<g/>
=
Knecht	w4924
<g/>
/
in	w4926
der	w4927
Casarm	w4928
<g/>
/
alt	w4930
30	w4931
J	w4932
<g/>
.
Peter	w4934
Blüml	w4935
<g/>
/
alt	w4937
23	w4938
<g/>
.
J	w4940
<g/>
.
Joseph	w4942
Eismann	w4943
<g/>
/
alt	w4945
34	w4946
<g/>
.
J	w4948
<g/>
.
Und	w4950
Margaretha	w4951
Ederin	w4952
<g/>
/
alt	w4954
55	w4955
<g/>
.
J	w4957
<g/>
.
<g/>
/
alle	w4960
3	w4961
<g/>
.
in	w4963
dem	w4964
Kranken	w4965
<g/>
=
Haus	w4967
<g/>
.
</list>
<head id="hl30">
NB	w4969
<g/>
.
</head>
<p id="p39">
Jn	w4971
des	w4972
Herrn	w4973
Georg	w4974
Lehmanns	w4975
Buch	w4976
<g/>
=
Laden	w4978
auf	w4979
dem	w4980
Kohl	w4981
<g/>
=
Markt	w4983
<g/>
/
unweit	w4985
der	w4986
Kaiserl	w4987
Burg	w4988
dem	w4989
Ball	w4990
<g/>
=
Haus	w4992
gegenüber	w4993
<g/>
/
ist	w4995
zu	w4996
haben	w4997
<g/>
:
</p>
<p id="p40">
1	w4999
<g/>
.
<g/>
)
Beschreibung	w5002
des	w5003
allerreinesten	w5004
Lebens	w5005
der	w5006
allerheiligsten	w5007
eingefleischten	w5008
Dreyfaltig=keit	w5009
<g/>
=
JEsu	w5011
Mariæ Mariae	w5012
und	w5013
Joseph	w5014
<g/>
/
weitläuffig	w5016
geoffenbaret	w5017
der	w5018
Ehrw	w5019
<g/>
.
frommen	w5021
Schwester	w5022
Maria	w5023
von	w5024
JEsu	w5025
<g/>
/
Abtissin	w5027
in	w5028
der	w5029
Stadt	w5030
Agreda	w5031
<g/>
,
Ordens	w5033
des	w5034
Heiligen	w5035
Seraphischen	w5036
Vatters	w5037
Francisci	w5038
<g/>
,
nun	w5040
aber	w5041
aus	w5042
<g/>
=
und	w5044
mit	w5045
ihren	w5046
eigenen	w5047
Worten	w5048
in	w5049
Kürze	w5050
verfasset	w5051
<g/>
/
8vo	w5053
kostet	w5054
ungebunden	w5055
45	w5056
<g/>
.
Kreuzer	w5058
<g/>
.
</p>
<p id="p41">
2	w5060
<g/>
.
<g/>
)
Seneca	w5063
Christianus	w5064
<g/>
,
das	w5066
ist	w5067
<g/>
:
Richt	w5069
<g/>
=
Schnur	w5071
eines	w5072
Christlichen	w5073
tugendhaften	w5074
Le=bens	w5075
<g/>
=
<g/>
/
aus	w5078
denen	w5079
Episteln	w5080
L	w5081
<g/>
.
Annæi Annaei	w5083
Senecæ Senecae	w5084
gezogen	w5085
<g/>
/
in	w5087
Lateinisch	w5088
<g/>
=
und	w5090
Teutscher	w5091
Sprach	w5092
heraus	w5093
gegeben	w5094
<g/>
/
in	w5096
12mo	w5097
kostet	w5098
17	w5099
<g/>
.
Kreutzer	w5101
<g/>
/
ist	w5103
auch	w5104
gebunden	w5105
vorhanden	w5106
<g/>
.
</p>
<head id="hl31">
NB	w5108
<g/>
.
</head>
<p id="p42">
Jn	w5110
Herrn	w5111
Peter	w5112
Conrad	w5113
Monats	w5114
Buch	w5115
<g/>
=
Laden	w5117
in	w5118
der	w5119
Nagler	w5120
<g/>
=
Gassen	w5122
seynd	w5123
folgen=de	w5124
<g/>
=
neue	w5126
Bücher	w5127
zu	w5128
haben	w5129
<g/>
:
Herrn	w5131
von	w5132
Neu=ers	w5133
<g/>
=
J	w5135
<g/>
.
U	w5137
<g/>
.
D	w5139
<g/>
.
und	w5141
Sr	w5142
<g/>
.
Chur	w5144
<g/>
=
Fürstl	w5146
<g/>
.
Durchl	w5148
<g/>
.
zu	w5150
Pfaltz	w5151
Hof	w5152
<g/>
=
Raht	w5154
<g/>
/
ꝛc	w5156
<g/>
.
Tractat	w5158
von	w5159
Te=stamenten	w5160
<g/>
=
<g/>
/
und	w5163
Codicillen	w5164
<g/>
/
worinnen	w5166
al=les	w5167
<g/>
=
das	w5169
jenige	w5170
<g/>
/
so	w5172
zur	w5173
völligen	w5174
Wissenschaft	w5175
und	w5176
<g/>
/
Erklärung	w5178
dieser	w5179
Materia	w5180
nur	w5181
vorfallen	w5182
<g/>
/
und	w5184
sich	w5185
zutragen	w5186
kan	w5187
<g/>
/
deutlich	w5189
<g/>
/
klärlich	w5191
<g/>
/
und	w5193
doch	w5194
in	w5195
möglichster	w5196
Kurtze	w5197
abgehandelt	w5198
ist	w5199
<g/>
/
jedermann	w5201
<g/>
/
sonderlich	w5203
aber	w5204
denen	w5205
<g/>
/
so	w5207
bey	w5208
Gerichten	w5209
zu	w5210
thun	w5211
haben	w5212
<g/>
/
nöhtig	w5214
und	w5215
nutzlich	w5216
<g/>
.
Anno	w5218
1730	w5219
<g/>
.
Das	w5221
Exemplar	w5222
kostet	w5223
24	w5224
<g/>
.
Kreutzer	w5226
<g/>
.
</p>
<p id="p43">
Ferner	w5228
ist	w5229
zu	w5230
haben	w5231
<g/>
:
Kurtze	w5233
Juristische	w5234
Betrachtung	w5235
von	w5236
dem	w5237
Recht	w5238
der	w5239
Taub	w5240
<g/>
=
und	w5242
</p>
<p id="p44">
Stumm	w5245
<g/>
=
Gebornen	w5247
<g/>
/
absonderlich	w5249
was	w5250
es	w5251
mit	w5252
selbigen	w5253
in	w5254
der	w5255
Criminal	w5256
<g/>
-
Juris	w5258
<g/>
-
Prudenz	w5260
und	w5261
peinlichen	w5262
Bestraffung	w5263
vor	w5264
eine	w5265
Beschaf=fenheit	w5266
<g/>
=
habe	w5268
<g/>
/
bey	w5270
einem	w5271
sich	w5272
ereigneten	w5273
son=derlichen	w5274
<g/>
=
Fall	w5276
verfasset	w5277
<g/>
/
und	w5279
aufgesetzet	w5280
durch	w5281
Johann	w5282
Paul	w5283
Kreß	w5284
<g/>
/
der	w5286
Juristischen	w5287
Facultät	w5288
auf	w5289
der	w5290
Universität	w5291
zu	w5292
Helmstädt	w5293
Se-nioren	w5294
<g/>
-
<g/>
.
Anno	w5297
1730	w5298
<g/>
.
Das	w5300
Exemplar	w5301
kostet	w5302
12	w5303
<g/>
.
Kreutzer	w5305
<g/>
.
</p>
<p id="p45">
Weiter	w5307
ist	w5308
auch	w5309
noch	w5310
zu	w5311
haben	w5312
<g/>
:
der	w5314
durch	w5315
den	w5316
Satan	w5317
zur	w5318
Verzweiflung	w5319
geführte	w5320
Judas	w5321
<g/>
,
oder	w5323
kurtzer	w5324
Entwurf	w5325
und	w5326
Lebens	w5327
<g/>
-
Beschrei=bung	w5329
<g/>
=
des	w5331
Iscariothischen	w5332
Böswichts	w5333
<g/>
/
und	w5335
Verrähters	w5336
Christi	w5337
<g/>
,
ehemalen	w5339
in	w5340
4	w5341
Büchern	w5342
mit	w5343
Fleiß	w5344
beschrieben	w5345
von	w5346
P	w5347
<g/>
.
Abraham	w5349
a	w5350
S	w5351
<g/>
.
Clara	w5353
<g/>
,
Augustiner	w5355
<g/>
=
Barfüssern	w5357
<g/>
/
Kaiserl	w5359
<g/>
.
Pre=digern	w5361
<g/>
=
<g/>
/
nunmehro	w5364
in	w5365
die	w5366
Kurtze	w5367
zusammen	w5368
gezogen	w5369
<g/>
/
und	w5371
den	w5372
gemeinen	w5373
Mann	w5374
zu	w5375
Lieb	w5376
in	w5377
diesem	w5378
bequemen	w5379
Format	w5380
herausgegeben	w5381
von	w5382
einem	w5383
Lieb	w5384
<g/>
=
haber	w5386
Abrahamischer	w5387
Schrif=ten	w5388
<g/>
=
<g/>
/
mit	w5391
schönen	w5392
Kupfern	w5393
<g/>
.
Cum	w5395
Censura	w5396
<g/>
&
Approbatione	w5398
<g/>
.
Zu	w5400
Wien	w5401
1729	w5402
<g/>
.
Das	w5404
Exemplar	w5405
kostet	w5406
