<doc id="edoc_wd_1773-11-13" attrs="word" year="1773" month="11" day="13" corpus="1">
<head id="hl1">
Lißabon	w29
oder	w8166
durch	w8167
genugsam	w8168
instruirte	w8169
Gevollmächtigte	w8170
also=gewiß	w8171
<g/>
=
zu	w8173
erscheinen	w8174
<g/>
,
ihre	w8176
vermeintliche	w8177
Forderun=gen	w8178
<g/>
=
anzumelden	w8180
<g/>
,
und	w8182
untereinstens	w8183
rechtsbestän=dig	w8184
<g/>
=
zu	w8186
liquidiren	w8187
haben	w8188
<g/>
,
als	w8190
im	w8191
widrigen	w8192
dieselbe	w8193
nicht	w8194
mehr	w8195
gehöret	w8196
<g/>
,
sondern	w8198
die	w8199
Verlassenschaft	w8200
ex	w8201
officio	w8202
abgehandelt	w8203
<g/>
,
denen	w8205
vorhandenen	w8206
Er=ben	w8207
<g/>
=
das	w8209
Vermögen	w8210
eingeantwortet	w8211
<g/>
,
und	w8213
sonsten	w8214
was	w8215
Rechtens	w8216
ist	w8217
fürgekehret	w8218
werden	w8219
solle	w8220
<g/>
.
</p>
<p id="p136">
Von	w8222
löbl	w8223
<g/>
.
k	w8225
<g/>
.
k	w8227
<g/>
.
General	w8229
der	w8230
Cavallerie	w8231
Graf	w8232
Caramellischen	w8233
CutrassierregimentsGerichts	w8234
wegen	w8235
wird	w8236
mit	w8237
gegenwärtigen	w8238
Edikt	w8239
jedermänniglich	w8240
sowohl	w8241
An	w8242
<g/>
=
als	w8244
Abwesenden	w8245
<g/>
,
denen	w8247
daran	w8248
gele=gen	w8249
<g/>
=
<g/>
,
kund	w8252
und	w8253
zu	w8254
wissen	w8255
gemacht	w8256
<g/>
;
Es	w8258
sepe	w8259
der	w8260
in	w8261
Ungarn	w8262
zu	w8263
Apati	w8264
bequartirt	w8265
gestandene	w8266
Ritt=meister	w8267
<g/>
=
<g/>
,
und	w8270
Escadronskommendant	w8271
<g/>
,
Karl	w8273
Frephr	w8274
<g/>
.
v	w8276
<g/>
.
Kulmar	w8278
<g/>
,
den	w8280
20	w8281
Deremb	w8282
<g/>
.
1766	w8284
<g/>
.
ab	w8286
intestato	w8287
mit	w8288
Tod	w8289
abgegangen	w8290
<g/>
.
Wann	w8292
nun	w8293
das	w8294
lobl	w8295
<g/>
.
Regiment	w8297
um	w8298
die	w8299
etwa	w8300
ein	w8301
oder	w8302
andere	w8303
bey	w8304
dieser	w8305
geringfähigen	w8306
Verlassenschaft	w8307
von	w8308
Rechts	w8309
wegen	w8310
gebuhrend	w8311
<g/>
,
nähere	w8313
Erbssprüche	w8314
in	w8315
Erfahrung	w8316
zu	w8317
bringen	w8318
<g/>
,
bey	w8320
des	w8321
etwa	w8322
vorhandenen	w8323
æsaes	w8324
alienum	w8325
ausfindig	w8326
zu	w8327
machen	w8328
<g/>
,
folgsam	w8330
zur	w8331
Abhandlung	w8332
solcher	w8333
Verlassenschaft	w8334
vorschreitten	w8335
zu	w8336
können	w8337
eine	w8338
Nothdurft	w8339
zu	w8340
seyn	w8341
befunden	w8342
hat	w8343
<g/>
,
alle	w8345
hieran	w8346
Theilnehmende	w8347
durch	w8348
dieses	w8349
offene	w8350
Edikt	w8351
<g/>
,
zur	w8353
Anmeld	w8354
<g/>
=
Legitimir	w8356
<g/>
=
und	w8358
Liquidirung	w8359
ihrer	w8360
ex	w8361
quacunque	w8362
causa	w8363
vel	w8364
Titulo	w8365
habenden	w8366
Sprüch	w8367
<g/>
=
und	w8369
Forderungen	w8370
gerichtlich	w8371
vorzuladen	w8372
<g/>
,
und	w8374
ein=zuberuffen	w8375
<g/>
=
<g/>
;
zu	w8378
welchem	w8379
Ende	w8380
dann	w8381
denenselben	w8382
binnen	w8383
1	w8384
Jahr	w8385
<g/>
,
6	w8387
Wochen	w8388
<g/>
,
3	w8390
Tag	w8391
<g/>
,
das	w8393
ist	w8394
<g/>
,
den	w8396
18	w8397
<g/>
.
Oktob	w8399
<g/>
.
des	w8401
1774	w8402
<g/>
.
Jahrs	w8404
<g/>
,
bey	w8406
dem	w8407
lobl	w8408
<g/>
.
Re=giment	w8410
<g/>
=
in	w8412
des	w8413
Hrn	w8414
<g/>
.
Commendantens	w8416
Quartier	w8417
zur	w8418
allendlichen	w8419
Frist	w8420
anberaumet	w8421
worden	w8422
<g/>
.
Sol=chemnach	w8424
<g/>
=
werden	w8426
alle	w8427
und	w8428
jede	w8429
<g/>
,
welche	w8431
bey	w8432
ge=dacht	w8433
<g/>
=
v	w8435
<g/>
.
Kulmarischer	w8437
Verlassenschaft	w8438
<g/>
,
um	w8440
recht=mäßiger	w8441
<g/>
=
Erbs	w8443
<g/>
=
oder	w8445
Schuldforderung	w8446
willen	w8447
eini=ge	w8448
<g/>
=
Sprüche	w8450
zu	w8451
haben	w8452
vermeinen	w8453
<g/>
,
an	w8455
bestimmten	w8456
</p>
<p id="p137">
Zeit	w8457
<g/>
,
entweder	w8459
selbst	w8460
Personlich	w8461
<g/>
,
oder	w8463
durch	w8464
hier=zu	w8465
<g/>
=
genugsam	w8467
bevollmächtigte	w8468
Gewalttragere	w8469
also=gewiß	w8470
<g/>
=
die	w8472
Erbsfolge	w8473
mit	w8474
einem	w8475
gerichll	w8476
<g/>
.
bekräftia=ten	w8478
<g/>
=
Stammbaum	w8480
<g/>
,
Geburtsbrief	w8482
<g/>
,
und	w8484
Taufschein	w8485
<g/>
,
oder	w8487
anderen	w8488
glaubwürdigen	w8489
Zeugenschaften	w8490
<g/>
,
dann	w8492
die	w8493
übrige	w8494
ihre	w8495
Anforderungen	w8496
mit	w8497
nöthigen	w8498
Dokumenten	w8499
rechts	w8500
erforderlich	w8501
zu	w8502
liquidiren	w8503
ha=den	w8504
<g/>
=
<g/>
,
als	w8507
in	w8508
widrigen	w8509
nach	w8510
Verstreichung	w8511
der	w8512
be=stimmten	w8513
<g/>
=
Zeit	w8515
<g/>
,
die	w8517
Abhandlung	w8518
gleichwohlen	w8519
vorgenommen	w8520
<g/>
,
forthin	w8522
ungehindert	w8523
deren	w8524
nicht	w8525
erscheinenden	w8526
Erbsanforderer	w8527
<g/>
,
oder	w8529
Glaubigern	w8530
solche	w8531
Erbschaft	w8532
dem	w8533
k	w8534
<g/>
.
k	w8536
<g/>
.
Militarinvalideninsti=tuto	w8538
<g/>
=
als	w8540
Erblos	w8541
eingeantwortet	w8542
<g/>
,
auch	w8544
sonsten	w8545
ex	w8546
Officio	w8547
vorgekehret	w8548
werden	w8549
solle	w8550
<g/>
,
was	w8552
Rechtens	w8553
ist	w8554
<g/>
,
wornachlsich	w8556
also	w8557
ein	w8558
jeder	w8559
zu	w8560
richten	w8561
wissen	w8562
wird	w8563
<g/>
.
Actum	w8565
in	w8566
dem	w8567
Staabsquartier	w8568
Nagy	w8569
<g/>
=
Korrös	w8571
den	w8572
1	w8573
<g/>
.
Novemb	w8575
<g/>
.
1773	w8577
<g/>
.
</p>
<p id="p138">
Auf	w8579
Verordnung	w8580
einer	w8581
hochlöbl	w8582
<g/>
.
k	w8584
<g/>
.
k	w8586
<g/>
.
N	w8588
<g/>
.
Oe	w8590
<g/>
.
Regierung	w8592
wird	w8593
abermalen	w8594
das	w8595
zu	w8596
Gumpenderf	w8597
liegende	w8598
Frephrl	w8599
<g/>
.
v	w8601
<g/>
.
Huberische	w8603
doppelte	w8604
Haus	w8605
dem	w8606
Meistbietenden	w8607
ausgefeilet	w8608
werden	w8609
<g/>
,
darinnen	w8611
be=finden	w8612
<g/>
=
sich	w8614
im	w8615
Hauptgebäude	w8616
mit	w8617
Nro	w8618
<g/>
.
21	w8620
in	w8621
er=sten	w8622
<g/>
=
Stock	w8624
14	w8625
Zimmer	w8626
nebst	w8627
Cabinetel	w8628
im	w8629
Saal	w8630
<g/>
,
zu	w8632
ebener	w8633
Erd	w8634
9	w8635
Zimmer	w8636
und	w8637
Holzgewölb	w8638
<g/>
,
nebst	w8640
einer	w8641
großen	w8642
Herrschaft	w8643
<g/>
=
und	w8645
2	w8646
kleinen	w8647
Kucheln	w8648
<g/>
,
wie	w8650
auch	w8651
ein	w8652
Keller	w8653
auf	w8654
700	w8655
Eimmer	w8656
Wein	w8657
<g/>
,
sammt	w8659
einer	w8660
Elßgruben	w8661
<g/>
.
Ruckwerts	w8663
gegen	w8664
die	w8665
Fel=der	w8666
<g/>
=
aber	w8668
mit	w8669
Nro	w8670
<g/>
.
103	w8672
bezeichnet	w8673
<g/>
,
3	w8675
Zinnßzim=mer	w8676
<g/>
=
<g/>
,
2	w8679
große	w8680
Stallungen	w8681
jede	w8682
auf	w8683
16	w8684
Pferd	w8685
nebst	w8686
2	w8687
Boden	w8688
ober	w8689
denen	w8690
Stallungen	w8691
<g/>
,
nicht	w8693
min=der	w8694
<g/>
=
2	w8696
große	w8697
Schupffen	w8698
mit	w8699
dovelten	w8700
Böden	w8701
<g/>
,
und	w8703
endlich	w8704
auch	w8705
dabey	w8706
ein	w8707
großer	w8708
Garten	w8709
218	w8710
Schritt	w8711
lang	w8712
<g/>
,
mit	w8714
guten	w8715
Obstbäumen	w8716
versehen	w8717
<g/>
,
in	w8719
der	w8720
Mitte	w8721
des	w8722
Gartens	w8723
aber	w8724
eine	w8725
Allee	w8726
von	w8727
Maul=beerbäumen	w8728
<g/>
=
<g/>
.
Da	w8731
nun	w8732
zu	w8733
dieser	w8734
Licitation	w8735
der	w8736
24	w8737
Novemb	w8738
<g/>
.
des	w8740
laufenden	w8741
Jahrs	w8742
bestimmet	w8743
worden	w8744
ist	w8745
<g/>
,
so	w8747
werden	w8748
alle	w8749
und	w8750
jede	w8751
<g/>
,
welche	w8753
bemeldtes	w8754
doppelte	w8755
Haus	w8756
sammt	w8757
dem	w8758
Garten	w8759
an	w8760
sich	w8761
zu	w8762
brin=gen	w8763
<g/>
=
Willens	w8765
sind	w8766
<g/>
,
an	w8768
den	w8769
bestimmten	w8770
Tag	w8771
fruh	w8772
um	w8773
9	w8774
Uhr	w8775
in	w8776
der	w8777
gräfl	w8778
<g/>
.
Meraviglischen	w8780
Herr=schaftskanzley	w8781
<g/>
=
daselbst	w8783
zu	w8784
erscheinen	w8785
haben	w8786
<g/>
.
</p>
<p id="p139">
Wir	w8788
Friderich	w8789
Jgnatz	w8790
Mauter	w8791
<g/>
,
Jhro	w8793
k	w8794
<g/>
.
k	w8796
<g/>
.
apost	w8798
<g/>
.
Majestät	w8800
Stadt	w8801
<g/>
=
und	w8803
Landnchter	w8804
in	w8805
dero	w8806
Haupf	w8807
<g/>
=
und	w8809
Residenzstadt	w8810
Wien	w8811
<g/>
,
dann	w8813
N	w8814
<g/>
.
und	w8816
N	w8817
<g/>
.
gesamm=te	w8819
<g/>
=
Beysitzere	w8821
des	w8822
k	w8823
<g/>
.
k	w8825
<g/>
.
Stadt	w8827
<g/>
=
und	w8829
Landgerichts	w8830
allda	w8831
<g/>
,
thuen	w8833
in	w8834
kraft	w8835
gegenwärtig	w8836
offenen	w8837
Edikts	w8838
allen	w8839
und	w8840
jeden	w8841
so	w8842
daran	w8843
gelegen	w8844
kund	w8845
<g/>
,
und	w8847
zu	w8848
wissen	w8849
<g/>
,
Wasgestalten	w8851
der	w8852
Paul	w8853
Krauß	w8854
<g/>
,
burgerl	w8856
<g/>
.
Knöpfmachermeister	w8858
allhier	w8859
<g/>
,
wegen	w8861
überhäuften	w8862
Schuldenlast	w8863
mit	w8864
seinem	w8865
Vermogen	w8866
ad	w8867
Cridam	w8868
gediehen	w8869
<g/>
,
dahero	w8871
dann	w8872
die	w8873
Nothwendigkeit	w8874
erfor=deret	w8875
<g/>
=
<g/>
,
ein	w8878
in	w8879
dergleichen	w8880
Fällen	w8881
gewöhnliche	w8882
Ein=beruffung	w8883
<g/>
=
deren	w8885
gesammt	w8886
diesfällig	w8887
sowohl	w8888
in=als	w8889
<g/>
=
etwa	w8891
außer	w8892
Landes	w8893
befindlichen	w8894
Creditspar=theyen	w8895
<g/>
=
anzuordnen	w8897
<g/>
,
um	w8899
damit	w8900
die	w8901
behörige	w8902
Ab=handlung	w8903
<g/>
=
fürgekehet	w8905
werden	w8906
möge	w8907
<g/>
.
Solchemnach	w8909
</p>
<p id="p140">
wird	w8910
hiemit	w8911
all	w8912
und	w8913
jeden	w8914
<g/>
,
des	w8916
ohgedachten	w8917
Krauß	w8918
Glaubigern	w8919
zur	w8920
Anmeldung	w8921
ihrer	w8922
Sprüch	w8923
<g/>
=
und	w8925
Anforderungen	w8926
eine	w8927
Tagsatzung	w8928
pro	w8929
Termino	w8930
1mo	w8931
<g/>
,
2do	w8933
<g/>
,
<g/>
&
3tio	w8936
peremptorio	w8937
von	w8938
unten	w8939
gesetzten	w8940
Dato	w8941
an	w8942
auf	w8943
den	w8944
18	w8945
<g/>
.
des	w8947
Decemb	w8948
<g/>
.
dies	w8950
Jahrs	w8951
fruh	w8952
um	w8953
8	w8954
Uhr	w8955
auf	w8956
dem	w8957
k	w8958
<g/>
.
k	w8960
<g/>
.
Stadtgericht	w8962
entweder	w8963
Persönlich	w8964
<g/>
,
oder	w8966
durch	w8967
genugsam	w8968
Be=vollmächtigte	w8969
<g/>
=
alsogewiß	w8971
zu	w8972
erscheinen	w8973
bestimmet	w8974
<g/>
,
wie	w8976
im	w8977
widrigen	w8978
die	w8979
Ausbleibend	w8980
<g/>
=
und	w8982
sich	w8983
in	w8984
be=stimmter	w8985
<g/>
=
Zeit	w8987
nicht	w8988
anmeldende	w8989
Gläubigere	w8990
mit	w8991
ihren	w8992
Sprüchen	w8993
nicht	w8994
mehr	w8995
angehöret	w8996
<g/>
,
sondern	w8998
von	w8999
des	w9000
mehr	w9001
wiederholten	w9002
Paul	w9003
Krauß	w9004
<g/>
,
vorhan=dener	w9006
<g/>
=
Habschaft	w9008
<g/>
,
und	w9010
Vermögen	w9011
völlig	w9012
ausge=schlossen	w9013
<g/>
=
seyn	w9015
<g/>
,
auch	w9017
hieran	w9018
nicht	w9019
das	w9020
geringste	w9021
mehr	w9022
bey	w9023
ewigen	w9024
Stillschweigen	w9025
zu	w9026
fordern	w9027
haben	w9028
sollen	w9029
<g/>
,
wornach	w9031
sich	w9032
dann	w9033
ein	w9034
jeder	w9035
zu	w9036
richten	w9037
<g/>
,
und	w9039
sein	w9040
Recht	w9041
zu	w9042
besorgen	w9043
wissen	w9044
wird	w9045
<g/>
.
</p>
<p id="p141">
Wir	w9047
Burgermeister	w9048
und	w9049
Rath	w9050
der	w9051
Stadt	w9052
Wien	w9053
geben	w9054
hiemit	w9055
jedermann	w9056
zu	w9057
vernehmen	w9058
<g/>
;
Es	w9060
seye	w9061
auf	w9062
Anlangen	w9063
des	w9064
gerichtl	w9065
<g/>
.
aufgestellt	w9067
Dilling=thallerischen	w9068
<g/>
=
Hrn	w9070
<g/>
.
Verlassenschafts	w9072
<g/>
=
Curatoris	w9074
verwilliget	w9075
worden	w9076
<g/>
,
das	w9078
Dillingthallerisch	w9079
am	w9080
Strozzischen	w9081
Grund	w9082
sub	w9083
Nro	w9084
<g/>
.
19	w9086
leigende	w9087
Haus	w9088
öffentlich	w9089
auszufeilen	w9090
<g/>
,
und	w9092
an	w9093
den	w9094
Meistbieten=den	w9095
<g/>
=
zu	w9097
verkaufen	w9098
<g/>
.
Da	w9100
nun	w9101
zu	w9102
diesem	w9103
Ende	w9104
der	w9105
20	w9106
<g/>
.
Decemb	w9108
<g/>
.
dieß	w9110
Jahrs	w9111
bestimmet	w9112
ist	w9113
<g/>
.
So	w9115
haben	w9116
diejenige	w9117
<g/>
,
welche	w9119
das	w9120
gedachte	w9121
Haus	w9122
zu	w9123
kaufen	w9124
Wil=lens	w9125
<g/>
=
sind	w9127
<g/>
,
an	w9129
dem	w9130
bestimmten	w9131
Tage	w9132
<g/>
,
oder	w9134
da	w9135
wir	w9136
anderer	w9137
Verhindernissen	w9138
halber	w9139
diesen	w9140
Tag	w9141
nicht	w9142
zu	w9143
Rath	w9144
sässen	w9145
<g/>
,
den	w9147
nächstdarauffolgenden	w9148
Rathstag	w9149
frühe	w9150
um	w9151
8	w9152
<g/>
.
Uhr	w9154
vor	w9155
uns	w9156
zu	w9157
erscheinen	w9158
<g/>
,
und	w9160
sich	w9161
bey	w9162
unserer	w9163
und	w9164
gemeiner	w9165
Stadt	w9166
Wien	w9167
Pupillen=raitkammer	w9168
<g/>
=
durch	w9170
den	w9171
Amtsschreiber	w9172
anmelden	w9173
zu	w9174
lassen	w9175
<g/>
,
folglich	w9177
der	w9178
weiteren	w9179
Behandlung	w9180
abzu=warten	w9181
<g/>
=
<g/>
.
</p>
<p id="p142">
Von	w9184
dem	w9185
verordneten	w9186
Judicio	w9187
Delegato	w9188
der	w9189
gräfl	w9190
<g/>
.
Franz	w9192
Wenzel	w9193
Sinzendorsischen	w9194
Herr=schaft	w9195
<g/>
=
Gfoll	w9197
wird	w9198
hiemit	w9199
jedermann	w9200
und	w9201
inson=derheit	w9202
<g/>
=
allen	w9204
jenen	w9205
<g/>
,
denen	w9207
daran	w9208
gelegen	w9209
ist	w9210
<g/>
,
kund	w9212
und	w9213
zu	w9214
wissen	w9215
gemacht	w9216
<g/>
.
Es	w9218
sey	w9219
von	w9220
Seiten	w9221
dieses	w9222
verordneten	w9223
Judicii	w9224
Delegati	w9225
über	w9226
die	w9227
un=tern	w9228
<g/>
=
15ten	w9230
dies	w9231
anher	w9232
igeschehene	w9233
Delegation	w9234
für	w9235
nöthig	w9236
befunden	w9237
worden	w9238
<g/>
,
nach	w9240
Absterben	w9241
der	w9242
Bar=bara	w9243
<g/>
=
Huberin	w9245
Herrschaft	w9246
Gföllerischen	w9247
Unterthan=nin	w9248
<g/>
=
<g/>
,
als	w9251
des	w9252
in	w9253
das	w9254
Bannat	w9255
verwiesenen	w9256
Unter=thans	w9257
<g/>
=
Joseph	w9259
Huber	w9260
<g/>
,
gewesener	w9262
Ehewürthin	w9263
seel	w9264
<g/>
.
über	w9266
die	w9267
von	w9268
derselben	w9269
hauptsächlich	w9270
zum	w9271
Favor	w9272
gedacht	w9273
ihres	w9274
Ehewürths	w9275
als	w9276
instituirten	w9277
Univer=salerbens	w9278
<g/>
=
ruckgelassene	w9280
letztwillige	w9281
Disposition	w9282
dd	w9283
<g/>
.
20ten	w9285
Februarp	w9286
1768	w9287
<g/>
.
eine	w9289
ordentliche	w9290
Convoca=tions	w9291
<g/>
=
und	w9293
Abhandlungs	w9294
<g/>
=
Tagsatzung	w9296
mit	w9297
Zu=ziehung	w9298
<g/>
=
allerseits	w9300
interessirten	w9301
anzuordnen	w9302
<g/>
,
und	w9304
solche	w9305
zu	w9306
desto	w9307
mehrerer	w9308
Sicherheit	w9309
per	w9310
Edictum	w9311
ad	w9312
valvas	w9313
offentlich	w9314
kund	w9315
zu	w9316
machen	w9317
<g/>
.
Da	w9319
nun	w9320
zu	w9321
dem	w9322
Ende	w9323
auf	w9324
Anlangen	w9325
des	w9326
diesfälligen	w9327
Ge=richklich	w9328
<g/>
=
verordneten	w9330
Curatoris	w9331
ad	w9332
actum	w9333
Herrn	w9334
</p>
<p id="p143">
Jgnatz	w9335
Raab	w9336
der	w9337
Rechten	w9338
Dris	w9339
<g/>
.
auch	w9341
Hof	w9342
und	w9343
Gerichtsadvokaten	w9344
<g/>
,
eine	w9346
allerdings	w9347
claufulirte	w9348
Er=foderung	w9349
<g/>
=
auf	w9351
den	w9352
23	w9353
<g/>
.
künftigen	w9355
Monats	w9356
Deremb	w9357
<g/>
.
Nachmittag	w9359
präcise	w9360
um	w9361
3	w9362
<g/>
.
Uhr	w9364
anberaumet	w9365
wor=den	w9366
<g/>
=
<g/>
,
als	w9369
werden	w9370
alldiejenige	w9371
<g/>
,
welche	w9373
an	w9374
obbesag=te	w9375
<g/>
=
Barbara	w9377
Huberin	w9378
seel	w9379
<g/>
.
oder	w9381
an	w9382
ihre	w9383
ruckgeblie=bene	w9384
<g/>
=
Verlassenschaft	w9386
aus	w9387
was	w9388
immer	w9389
für	w9390
einen	w9391
Rechtsgrund	w9392
oder	w9393
Titl	w9394
entweder	w9395
Jure	w9396
Crediti	w9397
hæreditatishaereditatis	w9398
oder	w9399
in	w9400
andern	w9401
Wegen	w9402
ex	w9403
quocun-que	w9404
<g/>
-
demum	w9406
capite	w9407
<g/>
,
was	w9409
zu	w9410
fodern	w9411
<g/>
,
und	w9413
zu	w9414
prätendiren	w9415
<g/>
,
oder	w9417
gegen	w9418
diese	w9419
obgerachte	w9420
letztwil=lige	w9421
<g/>
=
Disposition	w9423
<g/>
,
was	w9425
immer	w9426
einzuwenden	w9427
haben	w9428
vermeinen	w9429
<g/>
,
bey	w9431
dieser	w9432
Erforderung	w9433
auf	w9434
den	w9435
23ten	w9436
künftigen	w9437
Monats	w9438
Decemb	w9439
<g/>
.
Nachmittag	w9441
um	w9442
3	w9443
<g/>
.
Uhr	w9445
vor	w9446
diesem	w9447
verodneten	w9448
Judicio	w9449
Delegato	w9450
eigener	w9451
in	w9452
der	w9453
Waldzeil	w9454
beym	w9455
scharsen	w9456
Eck	w9457
herüber	w9458
Nro	w9459
<g/>
.
801	w9461
<g/>
.
gelegenen	w9463
Behausung	w9464
im	w9465
1ten	w9466
Stock	w9467
alsoge=wis	w9468
<g/>
=
zu	w9470
erscheinen	w9471
<g/>
,
und	w9473
sich	w9474
allda	w9475
mit	w9476
diesen	w9477
ihren	w9478
zu	w9479
haben	w9480
vermeinten	w9481
Foderungen	w9482
<g/>
,
und	w9484
allenfäl=ligen	w9485
<g/>
=
Einwendungen	w9487
anzumelden	w9488
haben	w9489
<g/>
.
Wie	w9491
im	w9492
widrigen	w9493
hierauf	w9494
kein	w9495
weiterer	w9496
Bedacht	w9497
ge=nommen	w9498
<g/>
=
<g/>
,
sondern	w9501
diese	w9502
Verlassenschaft	w9503
in	w9504
Gemäß=heit	w9505
<g/>
=
dieser	w9507
letztwilligen	w9508
Disposition	w9509
ex	w9510
officio	w9511
ab=gehandelt	w9512
<g/>
=
<g/>
,
auch	w9515
sonst	w9516
was	w9517
Rechtens	w9518
ist	w9519
<g/>
,
vorge=kehret	w9521
<g/>
=
werden	w9523
solle	w9524
<g/>
,
wornach	w9526
sich	w9527
dieselbe	w9528
zu	w9529
rich=ten	w9530
<g/>
=
<g/>
,
und	w9533
vor	w9534
Schaden	w9535
zu	w9536
hütten	w9537
wissen	w9538
werden	w9539
<g/>
.
</p>
<p id="p144">
Es	w9541
ist	w9542
ein	w9543
in	w9544
der	w9545
Stadt	w9546
sehr	w9547
wenig	w9548
<g/>
,
und	w9550
auf	w9551
Reisen	w9552
noch	w9553
niemal	w9554
gebrauchter	w9555
Wagen	w9556
auf	w9557
4	w9558
Personen	w9559
<g/>
,
mit	w9561
aschfarben	w9562
Plüsch	w9563
gefüttert	w9564
<g/>
,
und	w9566
zum	w9567
reisen	w9568
mit	w9569
Magazin	w9570
<g/>
,
Sitzgabel	w9572
mit	w9573
Taschen	w9574
und	w9575
Spritzleder	w9576
versehen	w9577
<g/>
;
dann	w9579
ein	w9580
Reispirutsch	w9581
in	w9582
sehr	w9583
guten	w9584
Stand	w9585
<g/>
,
um	w9587
sehr	w9588
billigen	w9589
Preis	w9590
zu	w9591
verkaufen	w9592
<g/>
.
Die	w9594
Liebhaber	w9595
hiezu	w9596
konnen	w9597
sich	w9598
bey	w9599
dem	w9600
Portier	w9601
im	w9602
Starhembergischen	w9603
Haus	w9604
gegen	w9605
den	w9606
Minoriten	w9607
über	w9608
melden	w9609
<g/>
.
</p>
<p id="p145">
Von	w9611
der	w9612
röm	w9613
<g/>
.
k	w9615
<g/>
.
k	w9617
<g/>
.
Majestät	w9619
N	w9620
<g/>
.
Oe	w9622
<g/>
.
Land=recht	w9624
<g/>
=
wegen	w9626
<g/>
:
wird	w9628
hiemit	w9629
allen	w9630
und	w9631
jeden	w9632
<g/>
,
denen	w9634
etwa	w9635
hieran	w9636
gelegen	w9637
<g/>
,
kund	w9639
<g/>
,
und	w9641
zu	w9642
wissen	w9643
ge=macht	w9644
<g/>
=
<g/>
;
Es	w9647
habe	w9648
hierorts	w9649
Herr	w9650
Johann	w9651
Ehren=reich	w9652
<g/>
=
Freyherr	w9654
v	w9655
<g/>
.
Hackelberg	w9657
und	w9658
Landau	w9659
für	w9660
sich	w9661
<g/>
,
und	w9663
in	w9664
Namen	w9665
der	w9666
von	w9667
dem	w9668
sel	w9669
<g/>
.
Herrn	w9671
Franz	w9672
Karl	w9673
Freyherrn	w9674
v	w9675
<g/>
.
Lempruch	w9677
hinterlassenen	w9678
min=derjährigen	w9679
<g/>
=
Söhnen	w9681
als	w9682
derselben	w9683
gerichtl	w9684
<g/>
.
ver=ordneter	w9686
<g/>
=
Vormund	w9688
angebracht	w9689
<g/>
,
daß	w9691
laut	w9692
des	w9693
für=gezeigten	w9694
<g/>
=
landtäflichen	w9696
Auszugs	w9697
den	w9698
26	w9699
<g/>
.
May	w9701
1685	w9702
die	w9703
Wieneris	w9704
<g/>
.
Pupillenrechnungskammer	w9706
mit	w9707
1000	w9708
fl	w9709
<g/>
.
Kapital	w9711
auf	w9712
das	w9713
nunmehr	w9714
ihme	w9715
und	w9716
seinen	w9717
Mindeln	w9718
zugehörigen	w9719
Prassikanischen	w9720
Fideikommißfreyhaus	w9721
in	w9722
der	w9723
Herrengasse	w9724
allhier	w9725
vorgemerket	w9726
worden	w9727
wäre	w9728
<g/>
.
Nun	w9730
hätte	w9731
er	w9732
zwar	w9733
die	w9734
Wieneris	w9735
<g/>
.
Pupillenrechnungskammer	w9737
<g/>
,
um	w9739
ei=ne	w9740
<g/>
=
Erklärung	w9742
<g/>
,
daß	w9744
sie	w9745
wider	w9746
die	w9747
Extabulirung	w9748
dieser	w9749
längst	w9750
gezahlten	w9751
Post	w9752
kein	w9753
Bebenken	w9754
trage	w9755
<g/>
,
angegangen	w9757
<g/>
,
allein	w9759
da	w9760
ihm	w9761
zur	w9762
Antwort	w9763
erthei=let	w9764
<g/>
=
wurde	w9766
<g/>
,
daß	w9768
dieses	w9769
Kapital	w9770
die	w9771
Pupillenrech=nungskammer	w9772
<g/>
=
selbsten	w9774
nicht	w9775
ansichte	w9776
<g/>
,
sondern	w9778
von	w9779
</p>
<p id="p146">
des	w9780
Veit	w9781
Niklas	w9782
<g/>
,
gewesten	w9784
burgerl	w9785
<g/>
.
Fleischhackers	w9787
allhier	w9788
nachgelassenen	w9789
Pupillengerhaben	w9790
dargelie=ben	w9791
<g/>
=
<g/>
,
und	w9794
unter	w9795
obigen	w9796
dato	w9797
vorgemerket	w9798
worden	w9799
seye	w9800
<g/>
:
diesem	w9802
Veit	w9803
Niklasischen	w9804
Pupillen	w9805
<g/>
,
und	w9807
Enkel	w9808
Hanns	w9809
Georg	w9810
Köck	w9811
<g/>
,
aber	w9813
nach	w9814
seiner	w9815
er=langten	w9816
<g/>
=
Vogtbarkeit	w9818
<g/>
,
laut	w9820
dessen	w9821
vorhandenen	w9822
Verzichtsquittung	w9823
sein	w9824
sgesammt	w9825
Großväterl	w9826
Veit	w9827
Niklasisches	w9828
Erbtheil	w9829
<g/>
,
worunter	w9831
auch	w9832
obige	w9833
inhibirte	w9834
1000	w9835
fl	w9836
<g/>
.
begriffen	w9838
waren	w9839
<g/>
,
bereits	w9841
der	w9842
5	w9843
<g/>
.
des	w9845
Christmonats	w9846
1696	w9847
übergeben	w9848
worden	w9849
wä=re	w9850
<g/>
=
<g/>
,
mithin	w9853
sie	w9854
Pupillenrechnungskammer	w9855
in	w9856
einer	w9857
fremden	w9858
Sache	w9859
keine	w9860
Erklatung	w9861
ausstellen	w9862
könne	w9863
<g/>
,
indessen	w9865
aber	w9866
dieses	w9867
Kapital	w9868
vorlängst	w9869
noch	w9870
von	w9871
dem	w9872
Herrn	w9873
Hannsen	w9874
Ludwigen	w9875
Prassican	w9876
