<doc id="edoc_wd_1766-04-09" attrs="word" year="1766" month="04" day="09" corpus="1">
<head id="hl1">
Staatssachen	w49
Glückwünschungscomplimente	w3547
abzulegen	w3548
<g/>
,
bey	w3550
beyden	w3551
regierenden	w3552
Kaiserl	w3553
<g/>
.
Majestäten	w3555
Audienz	w3556
<g/>
.
Zu	w3558
Mittag	w3559
war	w3560
eine	w3561
Tafel	w3562
von	w3563
etlichen	w3564
und	w3565
zwanzig	w3566
Couverts	w3567
bey	w3568
Jhro	w3569
Maj	w3570
<g/>
.
der	w3572
Kaiserinn	w3573
Josepha	w3574
<g/>
,
und	w3576
des	w3577
Abends	w3578
Apartement	w3579
<g/>
,
wobey	w3581
Jhro	w3582
Königl	w3583
<g/>
.
Hoheit	w3585
die	w3586
Erzherzoginn	w3587
Maria	w3588
Christina	w3589
von	w3590
</p>
<p id="p47">
den	w3591
anwesenden	w3592
fremden	w3593
Ministern	w3594
<g/>
,
und	w3596
dem	w3597
hiesigen	w3598
Adel	w3599
die	w3600
Abschiedscomplimenten	w3601
<g/>
,
und	w3603
Glückwünsche	w3604
zu	w3605
der	w3606
bevorstehenden	w3607
Abreise	w3608
aufgenommen	w3609
haben	w3610
<g/>
.
Diese	w3612
ist	w3613
auch	w3614
</p>
<p id="p48">
Montag	w3615
den	w3616
7ten	w3617
nach	w3618
dem	w3619
K	w3620
<g/>
.
K	w3622
<g/>
.
an	w3624
der	w3625
Hungarischen	w3626
Gränze	w3627
gelegenen	w3628
Lustschloß	w3629
Hof	w3630
an	w3631
der	w3632
March	w3633
<g/>
,
als	w3635
dem	w3636
zum	w3637
hohen	w3638
Beylager	w3639
bestimmten	w3640
Ort	w3641
<g/>
,
erfolget	w3643
<g/>
.
Jhro	w3645
Maj	w3646
<g/>
.
die	w3648
Kaiserinn	w3649
Königinn	w3650
sind	w3651
schon	w3652
morgens	w3653
um	w3654
7	w3655
<g/>
.
Uhr	w3657
mit	w3658
der	w3659
Erzherzoginn	w3660
Maria	w3661
Anna	w3662
Königl	w3663
<g/>
.
Hoheit	w3665
<g/>
,
und	w3667
einigen	w3668
Hofdamen	w3669
da=hin	w3670
<g/>
=
voraus	w3672
gegangen	w3673
<g/>
.
Der	w3675
Aufbruch	w3676
aber	w3677
beyder	w3678
Kaiserl	w3679
<g/>
.
Majestäten	w3681
geschah	w3682
erst	w3683
nach	w3684
dem	w3685
Mittagmahle	w3686
um	w3687
2	w3688
<g/>
.
Uhr	w3690
mit	w3691
der	w3692
Durch=lauchtigsten	w3693
<g/>
=
Erzherzoginn	w3695
Braut	w3696
<g/>
,
welche	w3698
in	w3699
dem	w3700
Wagen	w3701
Jhro	w3702
Maj	w3703
<g/>
.
der	w3705
Kaiserinn	w3706
nebst	w3707
Jhrer	w3708
eigenen	w3709
Frau	w3710
Obersthofmeisterinn	w3711
sas=sen	w3712
<g/>
=
<g/>
,
und	w3715
von	w3716
dem	w3717
ganzen	w3718
Hofstaat	w3719
mit	w3720
desto	w3721
lebhaftern	w3722
Seegenswünschen	w3723
begleitet	w3724
wurden	w3725
<g/>
,
je	w3727
mehr	w3728
jedermann	w3729
von	w3730
dem	w3731
vorzüglichen	w3732
Wer=the	w3733
<g/>
=
Höchstdero	w3735
Verehrungs	w3736
<g/>
=
und	w3738
liebenswür=digsten	w3739
<g/>
=
Eigenschaften	w3741
überzeuget	w3742
ist	w3743
<g/>
.
</p>
<p id="p49">
Da	w3745
die	w3746
hohe	w3747
Vermählung	w3748
auf	w3749
dem	w3750
Lan=de	w3751
<g/>
=
<g/>
,
und	w3754
ohne	w3755
öffentliches	w3756
Gepränge	w3757
zu	w3758
ge=schehen	w3759
<g/>
=
hatte	w3761
<g/>
,
bestunde	w3763
auch	w3764
das	w3765
Hofgefolge	w3766
nach	w3767
Schloßhof	w3768
in	w3769
sehr	w3770
wenigen	w3771
Cavaliers	w3772
und	w3773
Damen	w3774
<g/>
:
der	w3776
durchlauchtigste	w3777
Bräuti=gam	w3778
<g/>
=
Prinz	w3780
Albert	w3781
von	w3782
Sachsen	w3783
<g/>
,
sind	w3785
erst	w3786
folgenden	w3787
Tag	w3788
in	w3789
aller	w3790
Fruhe	w3791
mit	w3792
dero	w3793
durch=läuchtigstem	w3794
<g/>
=
Herrn	w3796
Bruder	w3797
dahin	w3798
nachgefolgt	w3799
<g/>
:
und	w3801
gestern	w3802
ist	w3803
daselbst	w3804
die	w3805
hohe	w3806
Trauung	w3807
und	w3808
priesterliche	w3809
Einsegnung	w3810
vor	w3811
sich	w3812
gegan=gen	w3813
<g/>
=
<g/>
.
</p>
<p id="p50">
Se	w3816
<g/>
.
Röm	w3818
<g/>
.
Kais	w3820
<g/>
.
Maj	w3822
<g/>
.
hatten	w3824
gleich	w3825
bey	w3826
dem	w3827
Antritte	w3828
dero	w3829
glorreichester	w3830
Regierung	w3831
dem	w3832
hochpreißlichen	w3833
Reichshofrathscollegio	w3834
allergnädigst	w3835
aufgetragen	w3836
<g/>
,
die	w3838
Rathsversamm=lungen	w3839
<g/>
=
bis	w3841
auf	w3842
dero	w3843
weitere	w3844
Verordnung	w3845
fort=zuführen	w3846
<g/>
=
<g/>
;
nachdem	w3849
aber	w3850
vor	w3851
14	w3852
<g/>
.
Tagen	w3854
die	w3855
in	w3856
dergleichen	w3857
Fällen	w3858
gewöhnliche	w3859
allergnä=digste	w3860
<g/>
=
Entlassung	w3862
desselben	w3863
Personalis	w3864
erfol=get	w3865
<g/>
=
ist	w3867
<g/>
,
so	w3869
haben	w3870
Se	w3871
<g/>
.
Majestät	w3873
die	w3874
Wiederein=führ	w3875
<g/>
=
<g/>
=
und	w3878
Bestättigung	w3879
des	w3880
besagten	w3881
Reichs=hofrathscollegii	w3882
<g/>
=
allerhöchstgefällig	w3884
beschlossen	w3885
<g/>
,
und	w3887
den	w3888
5ten	w3889
dieses	w3890
Monats	w3891
durch	w3892
Se	w3893
<g/>
.
Ex=cellenz	w3895
<g/>
=
dero	w3897
ersten	w3898
kaiserl	w3899
<g/>
.
Obristhofmeister	w3901
<g/>
,
Hrn	w3903
<g/>
.
Grafen	w3905
von	w3906
Ulfeld	w3907
vornehmen	w3908
lassen	w3909
<g/>
:
gedachter	w3911
Minister	w3912
hat	w3913
sich	w3914
demnach	w3915
densel=ben	w3916
<g/>
=
Tag	w3918
um	w3919
7	w3920
Uhr	w3921
Vormittags	w3922
mit	w3923
des	w3924
Hrn	w3925
<g/>
.
Ferdinand	w3927
Bonaventura	w3928
Grafens	w3929
von	w3930
Har Harrach	w3931
<g/>
=
</p>
<p id="p51">
rach	w3934
Excellenz	w3935
<g/>
,
als	w3937
wieder	w3938
ernannten	w3939
<g/>
,
und	w3941
bestättigten	w3942
kais	w3943
<g/>
.
Reichshofrathspräsidenten	w3945
<g/>
,
bey	w3947
Hof	w3948
eingefunden	w3949
<g/>
,
wo	w3951
Se	w3952
<g/>
.
Majest	w3954
<g/>
.
den	w3956
Letztern	w3957
in	w3958
allerhöchst	w3959
dero	w3960
Gegenwart	w3961
<g/>
,
und	w3963
in	w3964
Beyseyn	w3965
des	w3966
ersterwehnten	w3967
ersten	w3968
Herrn	w3969
Obristhofmeister	w3970
Excellenz	w3971
<g/>
,
des	w3973
mitersten	w3974
k	w3975
<g/>
.
Hrn	w3977
<g/>
.
Obristhofmeisters	w3979
Fürsten	w3980
von	w3981
Kheven=hüller	w3982
<g/>
=
Metsch	w3984
Fürstl	w3985
<g/>
.
Gnaden	w3987
<g/>
,
und	w3989
des	w3990
kais	w3991
Hrn	w3992
<g/>
.
Obristkämmer	w3994
Grafen	w3995
Anton	w3996
von	w3997
Salm	w3998
Excell	w3999
<g/>
.
den	w4001
Präsidenten	w4002
<g/>
=
eid	w4004
ablegen	w4005
zu	w4006
lassen	w4007
beliebten	w4008
<g/>
:
die	w4010
Eidesformul	w4011
wurde	w4012
demselben	w4013
von	w4014
des	w4015
Herrn	w4016
Reichsvicekanzlers	w4017
Fürsten	w4018
von	w4019
Colloredo	w4020
fürstl	w4021
<g/>
.
Gnaden	w4023
<g/>
,
vorgehalten	w4025
<g/>
,
die	w4027
Pflichten	w4028
aber	w4029
von	w4030
dem	w4031
kais	w4032
<g/>
.
wirkl	w4034
<g/>
.
Hofrath	w4036
<g/>
,
und	w4038
Reichsreferendario	w4039
Hrn	w4040
<g/>
.
von	w4042
Beck	w4043
vor=gelesen	w4044
<g/>
=
<g/>
.
</p>
<p id="p52">
Hiernach	w4047
begabe	w4048
sich	w4049
der	w4050
Herr	w4051
Reichsvi=cekanzer	w4052
<g/>
=
voraus	w4054
allein	w4055
nach	w4056
der	w4057
Rathstube	w4058
des	w4059
kais	w4060
<g/>
.
Reichshofrathscollegii	w4062
gerade	w4063
hin=über	w4064
<g/>
=
<g/>
;
der	w4067
erste	w4068
kais	w4069
<g/>
.
Herr	w4071
Obristenhofmei=ster	w4072
<g/>
=
hingegen	w4074
verfügte	w4075
sich	w4076
mit	w4077
dem	w4078
Herrn	w4079
Reihshofrathspräsidenten	w4080
durch	w4081
die	w4082
Ritter=stube	w4083
<g/>
=
<g/>
,
wo	w4086
die	w4087
deutsche	w4088
und	w4089
ungarische	w4090
adeli=che	w4091
<g/>
=
Leibgarden	w4093
in	w4094
zwo	w4095
Reihen	w4096
stunden	w4097
<g/>
,
nach	w4099
dem	w4100
inneren	w4101
Burghof	w4102
<g/>
,
und	w4104
fuhren	w4105
in	w4106
dero	w4107
sechsspännigen	w4108
schwarz	w4109
überzogenen	w4110
Staats=wagen	w4111
<g/>
=
von	w4113
dort	w4114
über	w4115
den	w4116
grossen	w4117
Burgplatz	w4118
<g/>
,
auf	w4120
welchem	w4121
die	w4122
ganze	w4123
Hauptwache	w4124
das	w4125
Ge=wehr	w4126
<g/>
=
präsentirte	w4128
<g/>
,
nach	w4130
dem	w4131
Reichshofraths=gebäu	w4132
<g/>
=
<g/>
,
und	w4135
in	w4136
dessen	w4137
Hof	w4138
hinein	w4139
<g/>
:
die	w4141
Lau=fer	w4142
<g/>
=
und	w4144
Livereybedienten	w4145
beyder	w4146
hohen	w4147
Mi=nistern	w4148
<g/>
=
tratten	w4150
in	w4151
der	w4152
Trauerkleidung	w4153
vorher	w4154
<g/>
,
und	w4156
derselben	w4157
Hausofficiers	w4158
folgten	w4159
nebstder	w4160
eigenen	w4161
zweyspännigen	w4162
Kutsche	w4163
des	w4164
Herrn	w4165
Reichshofrathspräsdenten	w4166
<g/>
,
nach	w4168
<g/>
.
An	w4170
der	w4171
Stiege	w4172
unweit	w4173
des	w4174
Wagens	w4175
stunden	w4176
der	w4177
Herr	w4178
Reichsvicekanzler	w4179
<g/>
,
und	w4181
der	w4182
Herr	w4183
Reichs=hofrathsvicepräsident	w4184
<g/>
=
mit	w4186
dem	w4187
gesammten	w4188
Rathscollegio	w4189
<g/>
,
empfiengen	w4191
die	w4192
gedachten	w4193
zween	w4194
Kaiserl	w4195
<g/>
.
Minister	w4197
<g/>
,
und	w4199
begleiteten	w4200
dieselben	w4201
die	w4202
Stiegen	w4203
hinauf	w4204
bis	w4205
in	w4206
die	w4207
Rathstube	w4208
<g/>
.
</p>
<p id="p53">
Nachdem	w4210
daselbst	w4211
der	w4212
Kaiserl	w4213
<g/>
.
Herr	w4215
Obrist=hofmeister	w4216
<g/>
=
<g/>
,
der	w4219
Her	w4220
Reichshofrathspräsident	w4221
<g/>
,
der	w4223
Herr	w4224
Reichsvicekanzler	w4225
<g/>
,
der	w4227
Herr	w4228
Reichs=hofrathsvicepräsident	w4229
<g/>
=
<g/>
,
und	w4232
die	w4233
sämmtlichen	w4234
Herren	w4235
Reichshofräthe	w4236
<g/>
,
wie	w4238
auch	w4239
die	w4240
beeden	w4241
Secretarien	w4242
ihre	w4243
gewöhnlichePlätze	w4244
eingenom=men	w4245
<g/>
=
hatten	w4247
<g/>
,
so	w4249
machten	w4250
des	w4251
Herrn	w4252
obersten	w4253
Hofmeisters	w4254
Excellenz	w4255
eine	w4256
nach	w4257
dem	w4258
allerhöch=sten	w4259
<g/>
=
kaiserl	w4261
<g/>
.
Auftrag	w4263
eingerichtete	w4264
Anrede	w4265
bey	w4266
</p>
<p id="p54">
offen	w4267
gehaltener	w4268
Thüre	w4269
der	w4270
Rathstube	w4271
<g/>
;
wo=rauf	w4273
<g/>
=
der	w4275
Hr	w4276
<g/>
.
Vicepräsident	w4278
<g/>
,
und	w4280
dann	w4281
auch	w4282
die	w4283
sämmtliche	w4284
Herren	w4285
Reichshofräthe	w4286
die	w4287
Ei=despflicht	w4288
<g/>
=
leisteten	w4290
<g/>
.
</p>
<p id="p55">
Nach	w4292
diesem	w4293
stellte	w4294
der	w4295
erste	w4296
kaiserl	w4297
<g/>
.
Herr	w4299
Obersthofmeister	w4300
das	w4301
von	w4302
Sr	w4303
<g/>
.
Majestät	w4305
bey	w4306
dieser	w4307
Gelegenheit	w4308
besonders	w4309
empfangene	w4310
De=cret	w4311
<g/>
=
<g/>
,
dem	w4314
Herrn	w4315
Reichshofrathspräsidenten	w4316
zu	w4317
<g/>
,
um	w4319
solches	w4320
ablesen	w4321
zu	w4322
lassen	w4323
<g/>
,
welches	w4325
derselbe	w4326
eröfnete	w4327
<g/>
,
und	w4329
sofort	w4330
einem	w4331
der	w4332
Herren	w4333
Reichs=hofrathssecretarien	w4334
<g/>
=
zur	w4336
Ablesung	w4337
überreichte	w4338
<g/>
,
zugleich	w4340
aber	w4341
auch	w4342
den	w4343
Thürhüter	w4344
erinnerte	w4345
<g/>
,
die	w4347
Thüre	w4348
der	w4349
Rathstube	w4350
zuzuschlüssen	w4351
<g/>
;
Nach	w4353
geendigter	w4354
Ablesung	w4355
des	w4356
kaiserl	w4357
<g/>
.
Decrets	w4359
<g/>
,
und	w4361
vollbrachten	w4362
Auftrag	w4363
wurde	w4364
die	w4365
Thür	w4366
wieder	w4367
eröfnet	w4368
<g/>
,
und	w4370
der	w4371
erste	w4372
Herr	w4373
Obersthofmeister	w4374
von	w4375
dem	w4376
sämmtlichen	w4377
Reichshofrathscollegio	w4378
die	w4379
Stiege	w4380
hinunter	w4381
bis	w4382
auf	w4383
etwelche	w4384
Schritte	w4385
zum	w4386
Wagen	w4387
begleitet	w4388
<g/>
.
Die	w4390
Rathsseßionen	w4391
haben	w4392
den	w4393
Montag	w4394
hierauf	w4395
wieder	w4396
angefangen	w4397
<g/>
.
</p>
<p id="p56">
Den	w4399
5	w4400
dies	w4401
ist	w4402
allhier	w4403
die	w4404
Ziehung	w4405
der	w4406
k	w4407
<g/>
.
k	w4409
<g/>
.
Lotterie	w4411
vor	w4412
sich	w4413
gegangen	w4414
<g/>
,
und	w4416
seynd	w4417
die	w4418
Nri	w4419
<g/>
.
38	w4421
<g/>
.
13	w4423
<g/>
.
69	w4425
<g/>
.
49	w4427
<g/>
.
und	w4429
20	w4430
<g/>
.
mit	w4432
vielen	w4433
Ambi	w4434
<g/>
,
Terni	w4436
<g/>
,
dann	w4438
beträchtlichen	w4439
Estratten	w4440
gehoben	w4441
<g/>
,
wie	w4443
dann	w4444
in	w4445
der	w4446
Amtcollectur	w4447
sub	w4448
Lit	w4449
A	w4450
<g/>
.
ein	w4452
Estratto	w4453
mit	w4454
448	w4455
<g/>
.
fl	w4457
<g/>
.
bey	w4459
dem	w4460
sub	w4461
Nro	w4462
<g/>
.
9	w4464
<g/>
.
in	w4466
der	w4467
Waldzeil	w4468
angestellten	w4469
Collectanten	w4470
3	w4471
<g/>
.
Estratten	w4473
<g/>
,
der	w4475
eine	w4476
pr	w4477
<g/>
.
658	w4479
<g/>
.
der	w4481
zweyte	w4482
pr	w4483
<g/>
.
714	w4485
<g/>
.
und	w4487
der	w4488
dritte	w4489
pr	w4490
<g/>
.
448	w4492
<g/>
.
fl	w4494
<g/>
.
bey	w4496
jenen	w4497
sub	w4498
Nro	w4499
<g/>
.
10	w4501
<g/>
.
in	w4503
tiefen	w4504
Graben	w4505
ein	w4506
Terno	w4507
mit	w4508
100	w4509
<g/>
.
Ducaten	w4511
<g/>
,
bey	w4513
jenem	w4514
sub	w4515
Nro	w4516
<g/>
.
16	w4518
<g/>
.
auf	w4520
dem	w4521
Peter	w4522
4	w4523
<g/>
.
Terni	w4525
<g/>
,
worunter	w4527
einer	w4528
mit	w4529
130	w4530
<g/>
.
der	w4532
anderte	w4533
mit	w4534
100	w4535
<g/>
.
Ducaten	w4537
<g/>
,
bey	w4539
diesem	w4540
sub	w4541
Nro	w4542
25	w4543
<g/>
.
in	w4545
der	w4546
obern	w4547
Breunerstrassen	w4548
ein	w4549
det=to	w4550
<g/>
=
mit	w4552
100	w4553
<g/>
.
Ducaten	w4555
<g/>
,
bey	w4557
dem	w4558
sub	w4559
Nro	w4560
<g/>
.
29	w4562
<g/>
.
in	w4564
der	w4565
Kärntnerstrassen	w4566
ein	w4567
Estratto	w4568
mit	w4569
700	w4570
<g/>
.
fl	w4572
<g/>
.
bey	w4574
dem	w4575
sub	w4576
Nro	w4577
<g/>
.
33	w4579
im	w4580
Rothgässel	w4581
ein	w4582
Terno	w4583
mit	w4584
100	w4585
Ducaten	w4586
<g/>
,
bey	w4588
dem	w4589
sub	w4590
Nro	w4591
<g/>
.
54	w4593
<g/>
.
auf	w4595
der	w4596
Wieden	w4597
6	w4598
<g/>
.
Terni	w4600
<g/>
,
und	w4602
2	w4603
<g/>
.
Quaterni	w4605
<g/>
,
bey	w4607
jenem	w4608
sub	w4609
Nro	w4610
<g/>
.
63	w4612
<g/>
.
in	w4614
der	w4615
Rossau	w4616
ein	w4617
Quaterno	w4618
<g/>
,
bey	w4620
dem	w4621
sub	w4622
Nro	w4623
<g/>
.
70	w4625
<g/>
.
bey	w4627
Maria	w4628
Hülf	w4629
6	w4630
<g/>
.
Terni	w4632
<g/>
,
bey	w4634
diesem	w4635
sub	w4636
Nro	w4637
<g/>
.
81	w4639
<g/>
.
zu	w4641
Erdberg	w4642
ein	w4643
Ambo	w4644
mit	w4645
100	w4646
<g/>
.
Ducaten	w4648
<g/>
,
bey	w4650
dem	w4651
sub	w4652
Nro	w4653
<g/>
.
107	w4655
<g/>
.
in	w4657
der	w4658
Neustadt	w4659
ein	w4660
Ter=no	w4661
<g/>
=
mit	w4663
100	w4664
<g/>
.
Ducaten	w4666
<g/>
,
dann	w4668
bey	w4669
dem	w4670
sub	w4671
Nro	w4672
<g/>
.
109	w4674
<g/>
.
zu	w4676
Linz	w4677
4	w4678
<g/>
.
Terni	w4680
<g/>
,
und	w4682
ein	w4683
Quaterno	w4684
ge=wonnen	w4685
<g/>
=
und	w4687
abgeführet	w4688
worden	w4689
<g/>
.
</p>
<p id="p57">
Die	w4691
fernere	w4692
Ziehung	w4693
wird	w4694
den	w4695
19	w4696
<g/>
.
dies	w4698
in	w4699
der	w4700
königl	w4701
<g/>
.
Freystadt	w4703
Preßburg	w4704
vorgenom=men	w4705
<g/>
=
werden	w4707
<g/>
.
</p>
<head id="hl8">
Lista	w4710
deren	w4711
Verstorbenen	w4712
zu	w4713
Wien	w4714
in	w4715
<g/>
=
und	w4717
vor	w4718
der	w4719
Stadt	w4720
<g/>
.
</head>
<head id="hl9">
Den	w4722
4	w4723
<g/>
.
April	w4725
<g/>
.
Jn	w4727
der	w4728
Stadt	w4729
<g/>
.
</head>
<list id="">
Hr	w4731
<g/>
.
Joh	w4733
<g/>
.
Mich	w4735
<g/>
.
Lautterbacher	w4737
<g/>
,
gew	w4739
<g/>
.
Tobackcommis	w4741
<g/>
.
im	w4743
Streinzis	w4744
<g/>
.
H	w4746
<g/>
.
auf	w4748
der	w4749
Wasserk	w4750
<g/>
.
Past	w4752
<g/>
.
67	w4754
<g/>
.
J	w4756
<g/>
.
Der	w4758
Fr	w4759
<g/>
.
Anna	w4761
Hegradin	w4762
<g/>
,
Wittwe	w4764
<g/>
,
ihr	w4766
K	w4767
<g/>
.
Anna	w4769
<g/>
,
im	w4771
Spitzelkrammer	w4772
<g/>
.
H	w4774
<g/>
.
am	w4776
Salzgr	w4777
<g/>
.
alt	w4779
5	w4780
<g/>
.
v	w4782
<g/>
.
J	w4784
<g/>
.
Cath	w4786
<g/>
.
Brandin	w4788
<g/>
,
led	w4790
<g/>
.
St	w4792
<g/>
.
im	w4794
Seitzerhof	w4795
<g/>
,
alt	w4797
17	w4798
<g/>
.
J	w4800
<g/>
.
Dem	w4802
Jac	w4803
<g/>
.
Zimt	w4805
<g/>
,
Handel	w4807
<g/>
.
Bed	w4809
<g/>
.
s	w4811
<g/>
.
K	w4813
<g/>
.
beym	w4815
goldnen	w4816
Straußen	w4817
auf	w4818
der	w4819
Freyung	w4820
<g/>
,
alt	w4822
1	w4823
<g/>
.
J	w4825
<g/>
.
Dem	w4827
Jos	w4828
<g/>
.
Heß	w4830
<g/>
,
Bed	w4832
<g/>
.
s	w4834
<g/>
.
W	w4836
<g/>
.
Bibiana	w4838
<g/>
,
beym	w4840
weissen	w4841
Rössel	w4842
am	w4843
Salzgr	w4844
<g/>
.
alt	w4846
42	w4847
<g/>
.
J	w4849
<g/>
.
</list>
<head id="hl10">
Vor	w4851
der	w4852
Stadt	w4853
<g/>
.
</head>
<list id="">
Joh	w4855
<g/>
.
Angerer	w4857
<g/>
,
K	w4859
<g/>
.
K	w4861
<g/>
.
Kalchmesser	w4863
<g/>
,
im	w4865
Kais	w4866
<g/>
.
Brunn=haus	w4868
<g/>
=
auf	w4870
der	w4871
Wieden	w4872
<g/>
,
alt	w4874
33	w4875
<g/>
.
J	w4877
<g/>
.
Justus	w4879
Jneiger	w4880
<g/>
,
von	w4882
der	w4883
Kais	w4884
<g/>
.
Schweitzergarde	w4886
<g/>
,
im	w4888
Spani	w4889
<g/>
.
Spital	w4891
<g/>
,
alt	w4893
27	w4894
<g/>
.
J	w4896
<g/>
.
Dem	w4898
Joh	w4899
<g/>
.
Rafelsperger	w4901
<g/>
,
Burgerl	w4903
<g/>
.
Holshandl	w4905
<g/>
.
s	w4907
<g/>
.
K	w4909
<g/>
.
Phil	w4911
<g/>
.
bey	w4913
der	w4914
Schwan	w4915
<g/>
.
in	w4917
der	w4918
Rossau	w4919
<g/>
,
alt	w4921
1	w4922
<g/>
.
J	w4924
<g/>
.
Jos	w4926
<g/>
.
Dernberger	w4928
<g/>
,
Burgl	w4930
<g/>
.
Tischler	w4932
<g/>
,
bey	w4934
St	w4935
<g/>
.
Anna	w4937
in	w4938
der	w4939
Josephst	w4940
<g/>
.
alt	w4942
47	w4943
<g/>
.
J	w4945
<g/>
.
Dem	w4947
Lor	w4948
<g/>
.
Burger	w4950
<g/>
,
Kichenmusic	w4952
<g/>
.
s	w4954
<g/>
.
S	w4956
<g/>
.
Mich	w4958
beym	w4959
roten	w4960
Krebsen	w4961
auf	w4962
der	w4963
Laimgr	w4964
<g/>
.
alt	w4966
21	w4967
<g/>
.
J	w4969
<g/>
.
Math	w4971
<g/>
.
Greis	w4973
<g/>
,
Burgl	w4975
<g/>
.
Schust	w4977
<g/>
.
beyn	w4979
br	w4980
<g/>
.
Hirschen	w4982
am	w4983
Spitalb	w4984
<g/>
.
alt	w4986
74	w4987
<g/>
.
J	w4989
<g/>
.
Dem	w4991
Lor	w4992
<g/>
.
Merz	w4994
<g/>
,
K	w4996
<g/>
.
K	w4998
<g/>
.
Reitkn	w5000
<g/>
.
s	w5002
<g/>
.
K	w5004
<g/>
.
Theres	w5006
<g/>
.
beym	w5008
Adler	w5009
auf	w5010
der	w5011
Laimgr	w5012
<g/>
.
alt	w5014
5	w5015
<g/>
.
J	w5017
<g/>
.
Cath	w5019
<g/>
.
Zambrain	w5021
<g/>
,
led	w5023
<g/>
.
St	w5025
<g/>
.
beym	w5027
gold	w5028
<g/>
.
Engel	w5030
in	w5031
der	w5032
Leopoldst	w5033
<g/>
.
alt	w5035
40	w5036
<g/>
.
J	w5038
<g/>
.
Dem	w5040
Franz	w5041
Kirchmayr	w5042
<g/>
,
Kais	w5044
<g/>
.
Reitkn	w5046
<g/>
.
s	w5048
<g/>
.
K	w5050
<g/>
.
Joh	w5052
<g/>
.
b	w5054
3	w5055
<g/>
.
Kron	w5057
<g/>
.
auf	w5059
der	w5060
Wieden	w5061
<g/>
,
alt	w5063
1	w5064
<g/>
.
J	w5066
<g/>
.
Math	w5068
<g/>
.
Schweinzer	w5070
<g/>
,
Tagw	w5072
<g/>
.
im	w5074
Lechneris	w5075
<g/>
.
H	w5077
<g/>
.
zu	w5079
Ni=colstorf	w5080
<g/>
=
<g/>
,
alt	w5083
96	w5084
<g/>
.
J	w5086
<g/>
.
Summa	w5088
15	w5089
<g/>
.
Person	w5091
<g/>
.
<g/>
,
darunter	w5094
4	w5095
Kind	w5096
<g/>
.
</list>
<head id="hl11">
Den	w5098
5	w5099
<g/>
.
April	w5101
<g/>
.
Jn	w5103
der	w5104
Stadt	w5105
<g/>
.
</head>
<list id="">
Der	w5107
Wohledle	w5108
Hr	w5109
<g/>
.
Barthol	w5111
<g/>
.
Habit	w5113
<g/>
,
Gmnr	w5115
<g/>
.
Stadt	w5117
Wien	w5118
Buchhalt	w5119
<g/>
.
Raitoff	w5121
<g/>
.
im	w5123
Kupferschmidis	w5124
<g/>
.
H	w5126
<g/>
.
im	w5128
tiefen	w5129
Graben	w5130
<g/>
,
alt	w5132
76	w5133
<g/>
.
J	w5135
<g/>
.
Dem	w5137
Wohledl	w5138
<g/>
.
Hrn	w5140
<g/>
.
Math	w5142
<g/>
.
Zohl	w5144
<g/>
,
K	w5146
<g/>
.
K	w5148
<g/>
.
Mehlauf=schlags	w5150
<g/>
=
Einnehmer	w5152
<g/>
,
s	w5154
<g/>
.
Fr	w5156
<g/>
.
Elisab	w5158
<g/>
.
auf	w5160
der	w5161
Mehl=gruben	w5162
<g/>
=
<g/>
,
alt	w5165
36	w5166
<g/>
.
J	w5168
<g/>
.
Dem	w5170
Paul	w5171
Saurkamerer	w5172
<g/>
,
Burgl	w5174
<g/>
.
Bierw	w5176
<g/>
.
s	w5178
K	w5179
<g/>
.
Paul	w5181
<g/>
,
im	w5183
Pilgramis	w5184
<g/>
.
H	w5186
<g/>
.
in	w5188
der	w5189
gr	w5190
<g/>
.
Dorotheg	w5192
<g/>
.
alt	w5194
7	w5195
<g/>
.
v	w5197
<g/>
.
J	w5199
<g/>
.
Dem	w5201
Seb	w5202
<g/>
.
Withalm	w5204
<g/>
,
Burgl	w5206
<g/>
.
Schneid	w5208
<g/>
.
s	w5210
<g/>
.
K	w5212
<g/>
.
Vinc	w5214
<g/>
.
im	w5216
Spitzelkram	w5217
<g/>
.
H	w5219
<g/>
.
am	w5221
Salzgr	w5222
<g/>
.
alt	w5224
5	w5225
<g/>
.
v	w5227
<g/>
.
J	w5229
<g/>
.
</list>
<head id="hl12">
Vor	w5231
der	w5232
Stadt	w5233
<g/>
.
</head>
<list id="">
Eva	w5235
Walserin	w5236
<g/>
,
Wit	w5238
<g/>
.
in	w5240
ihrem	w5241
H	w5242
<g/>
.
im	w5244
Liechtenth	w5245
<g/>
.
95	w5247
<g/>
.
J	w5249
<g/>
.
Jos	w5251
<g/>
.
Frank	w5253
<g/>
,
Trager	w5255
<g/>
,
beym	w5257
roten	w5258
Hahn	w5259
am	w5260
Himmel=pfortgr	w5261
<g/>
=
<g/>
.
alt	w5264
53	w5265
<g/>
.
J	w5267
<g/>
.
Gabr	w5269
<g/>
.
Gruber	w5271
<g/>
,
Tagw	w5273
<g/>
.
beym	w5275
goldnen	w5276
Fäßl	w5277
bey	w5278
der	w5279
Währingerlinie	w5280
<g/>
,
alt	w5282
72	w5283
<g/>
.
J	w5285
<g/>
.
Theres	w5287
<g/>
.
Mandlin	w5289
<g/>
,
Wittwe	w5291
<g/>
,
beym	w5293
grünen	w5294
Kranz	w5295
zu	w5296
Mätzleinst	w5297
<g/>
