<doc id="edoc_wd_1726-09-07" attrs="word" year="1726" month="09" day="07" corpus="1">
<head id="hl1">
Copia	w54
=
<g/>
/
welcher	w3685
endlich	w3686
den	w3687
ersten	w3688
Kalk	w3689
untern	w3690
Stein	w3691
gelegt	w3692
<g/>
/
in	w3694
einem	w3695
Porcellain	w3696
-Kästgen	w3697
die	w3698
Documenta	w3699
in	w3700
Grund	w3701
<g/>
=
Stein	w3703
gesetzet	w3704
<g/>
/
und	w3706
die	w3707
Tectur	w3708
des	w3709
Steines	w3710
mit	w3711
einem	w3712
Hammer	w3713
bekräf=tiget	w3714
<g/>
=
<g/>
/
worauf	w3717
das	w3718
Te	w3719
Deum	w3720
Laudamus	w3721
bey	w3722
Trompeten	w3723
und	w3724
Pauken	w3725
angestim=met	w3726
<g/>
=
wurde	w3728
<g/>
/
nach	w3730
welchem	w3731
dann	w3732
der	w3733
Se=gen	w3734
<g/>
=
gesprochen	w3736
<g/>
/
und	w3738
man	w3739
diese	w3740
Solenni- tät	w3741
<g/>
-
mit	w3743
dem	w3744
bekannten	w3745
Liede	w3746
<g/>
:
Nun	w3748
denket	w3749
alle	w3750
GOTT	w3751
<g/>
/
ꝛc	w3753
<g/>
.
beschlossen	w3755
<g/>
.
Nach	w3757
<g/>
=
Mittags	w3759
wurden	w3760
alle	w3761
vornehme	w3762
Anwesende	w3763
im	w3764
Brühahn	w3765
<g/>
=
Hause	w3767
herrlich	w3768
tractiret	w3769
<g/>
.
</p>
<head id="hl14">
Hamburg	w3771
27	w3772
<g/>
.
Augusti	w3774
<g/>
.
</head>
<p id="p44">
Aus	w3776
hiesigen	w3777
Orten	w3778
fället	w3779
dermalen	w3780
nichts	w3781
anderes	w3782
zu	w3783
berichten	w3784
<g/>
/
als	w3786
<g/>
/
daß	w3788
der	w3789
alhiesi=ge	w3790
<g/>
=
Magistrat	w3792
dieser	w3793
Tagen	w3794
seine	w3795
Deputirten	w3796
nach	w3797
Hannover	w3798
abgefertiget	w3799
hat	w3800
<g/>
/
dahin	w3802
zu	w3803
trachten	w3804
<g/>
/
wo	w3806
möglich	w3807
die	w3808
bekannte	w3809
<g/>
/
und	w3811
so	w3812
verhafte	w3813
Dom	w3814
<g/>
=
Sachen	w3816
in	w3817
der	w3818
Güte	w3819
zu	w3820
he=ben	w3821
<g/>
=
<g/>
;
worzu	w3824
auch	w3825
der	w3826
von	w3827
dorten	w3828
her	w3829
einge=loffenen	w3830
<g/>
=
Nachricht	w3832
zufolge	w3833
<g/>
/
gegenwärtig	w3835
die	w3836
gröste	w3837
Hofnung	w3838
vorhanden	w3839
<g/>
.
</p>
<head id="hl15">
Warschau	w3841
27	w3842
<g/>
.
Augusti	w3844
<g/>
.
</head>
<p id="p45">
Zu	w3846
der	w3847
Abreise	w3848
Jhrer	w3849
Majestät	w3850
des	w3851
Königes	w3852
nach	w3853
Grodno	w3854
<g/>
/
wird	w3856
alhier	w3857
al=les	w3858
<g/>
=
veranstaltet	w3860
<g/>
;
wie	w3862
ingleichen	w3863
zu	w3864
des	w3865
Frantzösischen	w3866
Gesandtens	w3867
Audientz	w3868
bey	w3869
Jhro	w3870
Majestät	w3871
<g/>
/
ob	w3873
selbige	w3874
alhier	w3875
<g/>
/
oder	w3877
in	w3878
Grodno	w3879
geschehen	w3880
werde	w3881
<g/>
/
davon	w3883
ist	w3884
nichts	w3885
gewisses	w3886
zu	w3887
melden	w3888
<g/>
;
Seine	w3890
Ex=cellentz	w3891
<g/>
=
sollen	w3893
einige	w3894
Zeit	w3895
sich	w3896
alhier	w3897
auf aufhalten	w3898
<g/>
=
</p>
<p id="p46">
halten	w3900
<g/>
.
Man	w3902
hat	w3903
jüngsthin	w3904
wegen	w3905
der	w3906
Curländischen	w3907
Sache	w3908
einige	w3909
Conferen-zien	w3910
<g/>
-
mit	w3912
dem	w3913
Russischen	w3914
Gesandten	w3915
bey	w3916
dem	w3917
Cron	w3918
<g/>
=
Groß	w3920
<g/>
=
Marschall	w3922
gehalten	w3923
<g/>
;
was	w3925
aber	w3926
darin	w3927
beschlossen	w3928
worden	w3929
<g/>
/
leh=ret	w3931
<g/>
=
die	w3933
Zeit	w3934
<g/>
;
immittelst	w3936
wäre	w3937
in	w3938
Curland	w3939
noch	w3940
alles	w3941
in	w3942
Allarm	w3943
<g/>
/
weilen	w3945
in	w3946
dasigen	w3947
Gräntzen	w3948
die	w3949
Moscowittischen	w3950
Truppen	w3951
sich	w3952
aufhalten	w3953
sollen	w3954
<g/>
;
ohngeachtet	w3956
deren	w3957
wäre	w3958
doch	w3959
der	w3960
Raht	w3961
entschlossen	w3962
<g/>
/
keinen	w3964
neuen	w3965
Congress	w3966
zu	w3967
halten	w3968
<g/>
.
</p>
<head id="hl16">
Wien	w3970
7	w3971
<g/>
.
September	w3973
1726	w3974
<g/>
.
</head>
<p id="p47">
MJttwoch	w3976
den	w3977
4	w3978
<g/>
.
Sept	w3980
<g/>
.
wurde	w3982
in	w3983
Aller=höchster	w3984
<g/>
=
Gegenwart	w3986
Jhrer	w3987
Kaiserlich	w3988
<g/>
=
und	w3990
Königlich	w3991
<g/>
=
Catholischen	w3993
Majestät	w3994
gehei=mer	w3995
<g/>
=
Raht	w3997
gehalten	w3998
<g/>
;
Nach	w4000
<g/>
=
Mittag	w4002
aber	w4003
wurde	w4004
zu	w4005
dem	w4006
anderten	w4007
mal	w4008
das	w4009
an	w4010
Jhrer	w4011
Regierenden	w4012
Majestät	w4013
der	w4014
Kaiserin	w4015
aller=höchsten	w4016
<g/>
=
Geburts	w4018
<g/>
=
Tag	w4020
gehaltene	w4021
Jtaliani=sche	w4022
<g/>
=
Musicalische	w4024
Theatral	w4025
-Fest	w4026
wiederholet	w4027
<g/>
.
</p>
<p id="p48">
Verwichenen	w4029
Samstag	w4030
<g/>
/
den	w4032
31	w4033
<g/>
.
Augusti	w4035
<g/>
/
wurden	w4037
bey	w4038
der	w4039
alhiesigen	w4040
Welt	w4041
<g/>
=
berühmten	w4043
uhralten	w4044
Universität	w4045
unter	w4046
Adm	w4047
<g/>
.
Rev	w4049
<g/>
.
ac	w4051
Clariss	w4052
<g/>
.
D	w4054
<g/>
.
Joanne	w4056
Adamo	w4057
Ott	w4058
<g/>
.
des	w4060
Kaiserl	w4061
<g/>
.
Stifts	w4063
derer	w4064
Canonic	w4065
<g/>
.
Regul	w4067
<g/>
.
Later	w4069
S	w4070
<g/>
.
Au-gustini	w4072
<g/>
-
alhier	w4074
zu	w4075
Wien	w4076
bey	w4077
S	w4078
<g/>
.
Dorothe	w4080
Pro-fesso	w4081
<g/>
-
<g/>
,
und	w4084
der	w4085
aldasigen	w4086
Cantzley	w4087
Præfecto Praefecto	w4088
<g/>
,
der	w4090
H	w4091
<g/>
.
Schrift	w4093
Doctore	w4094
<g/>
,
und	w4096
dermaligen	w4097
De-cano	w4098
<g/>
-
Spectabili	w4100
der	w4101
Theologischen	w4102
Facultät	w4103
<g/>
/
folgende	w4105
8	w4106
<g/>
.
geistliche	w4108
Herren	w4109
in	w4110
Currentes	w4111
Biblicos	w4112
<g/>
,
<g/>
&
Formatos	w4115
SS	w4116
<g/>
.
Theologiæ Theologiae	w4118
Bacca-laureos	w4119
<g/>
-
mit	w4121
denen	w4122
gewöhnlichen	w4123
Geprängen	w4124
promoviret	w4125
<g/>
/
nemlich	w4127
D	w4128
<g/>
.
Adolphus	w4130
Schlecht	w4131
<g/>
,
Coloniensis	w4133
<g/>
,
AA	w4135
<g/>
.
II	w4137
<g/>
.
Philosophiæ Philosophiae	w4139
Magi-ster	w4140
<g/>
-
<g/>
,
SS	w4143
<g/>
.
Theologiæ Theologiae	w4145
in	w4146
tertium	w4147
annum	w4148
Au-ditor	w4149
<g/>
-
<g/>
,
Presbyter	w4152
<g/>
.
D	w4154
<g/>
.
Stephanus	w4156
Morocz	w4157
<g/>
,
Hungaris	w4159
Verelnensis	w4160
<g/>
,
ex	w4162
Comitatu	w4163
Posto-niensi	w4164
<g/>
-
<g/>
,
AA	w4167
<g/>
.
LL	w4169
<g/>
.
<g/>
&
Phil	w4172
<g/>
.
Magister	w4174
<g/>
,
SS	w4176
<g/>
.
Theol	w4178
<g/>
.
in	w4180
tertium	w4181
annum	w4182
Auditor	w4183
<g/>
,
Collegii	w4185
Paz-maniani	w4186
<g/>
-
Alumnus	w4188
Presbyter	w4189
<g/>
.
D	w4191
<g/>
.
Michael	w4193
Besznak	w4194
<g/>
,
de	w4196
eadem	w4197
Ungarus	w4198
ex	w4199
Comitatu	w4200
Nittriensi	w4201
<g/>
,
AA	w4203
<g/>
.
LL	w4205
<g/>
.
<g/>
&
Phil	w4208
<g/>
.
Magister	w4210
<g/>
.
SS	w4212
<g/>
.
Theol	w4214
<g/>
.
in	w4216
tertium	w4217
annum	w4218
Auditor	w4219
<g/>
,
Collegii	w4221
Paz-maniani	w4222
<g/>
-
Alumnus	w4224
<g/>
,
Presbyter	w4226
<g/>
.
D	w4228
<g/>
.
Joannes	w4230
Keinacher	w4231
<g/>
,
Styrus	w4233
Pettoviensis	w4234
<g/>
,
<g/>
&
ibidem	w4237
ad	w4238
sanctum	w4239
Georgium	w4240
Beneficiatus	w4241
<g/>
,
AA	w4243
<g/>
.
LL	w4245
<g/>
.
<g/>
&
Philos	w4248
<g/>
.
Maister	w4250
<g/>
,
SS	w4252
<g/>
.
Theol	w4254
<g/>
.
in	w4256
quartum	w4257
</p>
<p id="p49">
annum	w4259
Auditor	w4260
<g/>
,
Presbyter	w4262
<g/>
.
D	w4264
<g/>
.
Jacobus	w4266
Gerini	w4267
<g/>
,
Italus	w4269
<g/>
&
Comitatu	w4271
Goritiensi	w4272
<g/>
,
AA	w4274
<g/>
.
LL	w4276
<g/>
.
<g/>
&
Philosophiæ Philosophiae	w4279
Magister	w4280
<g/>
,
SS	w4282
<g/>
.
Theologiæ Theologiae	w4284
in	w4285
tertium	w4286
annum	w4287
Auditor	w4288
<g/>
,
Presbyter	w4290
<g/>
.
D	w4292
<g/>
.
Andreas	w4294
Foramitus	w4295
<g/>
,
Italus	w4297
ex	w4298
Abbatia	w4299
Mo-diensi	w4300
<g/>
-
im	w4302
Foro	w4303
<g/>
-
Julio	w4305
<g/>
,
AA	w4307
<g/>
.
LL	w4309
<g/>
.
<g/>
&
Philoso- phiæ Philosophiae	w4312
<g/>
-
Magister	w4314
<g/>
,
SS	w4316
<g/>
.
Theologiæ Theologiae	w4318
in	w4319
tertium	w4320
annum	w4321
Auditor	w4322
<g/>
,
Presbyter	w4324
<g/>
.
Pater	w4326
Sebal-dus	w4327
<g/>
-
Egerer	w4329
<g/>
,
Ordinis	w4331
Eremitarum	w4332
S	w4333
<g/>
.
P	w4335
<g/>
.
Augu-stini	w4337
<g/>
-
<g/>
,
in	w4340
Conventu	w4341
Generali	w4342
Viennensi	w4343
ad	w4344
SS	w4345
<g/>
.
Sebastianum	w4347
<g/>
&
Rochum	w4349
<g/>
,
SS	w4351
<g/>
.
Theologiæ Theologiae	w4353
Lector	w4354
Ordinarius	w4355
<g/>
.
Und	w4357
P	w4358
<g/>
.
Antonius	w4360
Capler	w4361
<g/>
,
Ordinis	w4363
Eremitarum	w4364
S	w4365
<g/>
.
P	w4367
<g/>
.
Augustini	w4369
<g/>
,
in	w4371
Con-ventu	w4372
<g/>
-
Generali	w4374
Viennensi	w4375
ad	w4376
SS	w4377
<g/>
.
Sebastia-num	w4379
<g/>
-
<g/>
&
Rochum	w4382
<g/>
,
SS	w4384
<g/>
.
Theologiæ Theologiae	w4386
Moralis	w4387
Lector	w4388
Ordinarius	w4389
<g/>
.
</p>
<p id="p50">
Donnerstag	w4391
<g/>
/
den	w4393
5	w4394
<g/>
.
Dito	w4396
<g/>
/
erhube	w4398
Sich	w4399
Allerhöchst	w4400
<g/>
=
gedacht	w4402
Jhre	w4403
Kaiserl	w4404
<g/>
.
Majestät	w4406
<g/>
/
unser	w4408
Allergnädigster	w4409
Herr	w4410
<g/>
/
nacher	w4412
Schö=nau	w4413
<g/>
=
<g/>
/
belustigte	w4416
Sich	w4417
alda	w4418
mit	w4419
einer	w4420
Hir=schen	w4421
<g/>
=
<g/>
=
Pürst	w4424
<g/>
/
und	w4426
kehrete	w4427
sodann	w4428
in	w4429
die	w4430
Favorita	w4431
wieder	w4432
zuruk	w4433
<g/>
.
Jhre	w4435
Durchleucht	w4436
Herr	w4437
Erb	w4438
Printz	w4439
von	w4440
Lothringen	w4441
divertirten	w4442
sich	w4443
mit	w4444
Reuten	w4445
auf	w4446
der	w4447
Kaiserl	w4448
<g/>
.
Reut	w4450
<g/>
=
Schul	w4452
<g/>
.
</p>
<p id="p51">
Nachdeme	w4454
die	w4455
jüngst	w4456
<g/>
=
gemeldte	w4458
Ziehung	w4459
der	w4460
alhiesigen	w4461
Privilegirt	w4462
<g/>
=
Kaiserlich	w4464
<g/>
=
Orien- talischen	w4466
<g/>
-
Compagnie	w4468
37sten	w4469
Lotterie	w4470
ihren	w4471
Anfang	w4472
verwichenen	w4473
Montag	w4474
<g/>
/
als	w4476
den	w4477
2ten	w4478
dieses	w4479
<g/>
/
vor	w4481
<g/>
=
Mittag	w4483
genommen	w4484
<g/>
/
als	w4486
wur=de	w4487
<g/>
=
dieselbe	w4489
heute	w4490
<g/>
/
Donnerstag	w4492
<g/>
/
nach	w4494
<g/>
=
Mit=tag	w4496
<g/>
=
ge	w4498
<g/>
=
endet	w4500
<g/>
;
und	w4502
solle	w4503
den	w4504
zukünftigen	w4505
Montag	w4506
<g/>
/
den	w4508
9	w4509
<g/>
.
dieses	w4511
<g/>
/
der	w4513
Anfang	w4514
der	w4515
38sten	w4516
Lotterie	w4517
gemachet	w4518
werden	w4519
<g/>
:
die	w4521
grossen	w4522
Ge=winne	w4523
<g/>
=
aus	w4525
obbemeldter	w4526
337sten	w4527
Lotterie	w4528
seynd	w4529
auf	w4530
folgenden	w4531
Numern	w4532
gehoben	w4533
worden	w4534
<g/>
/
nemlich	w4536
</p>
<head id="hl17">
Montag	w4537
<g/>
/
den	w4539
2	w4540
<g/>
.
Septemb	w4542
<g/>
.
</head>
<p id="p52">
Vor	w4544
<g/>
=
Mittag	w4546
<g/>
:
die	w4548
1000	w4549
<g/>
.
fl	w4551
<g/>
.
wegen	w4553
des	w4554
ersten	w4555
Zuges	w4556
auf	w4557
Num	w4558
<g/>
.
99697	w4560
<g/>
.
und	w4562
Devise	w4563
<g/>
:
Wers	w4565
findt	w4566
<g/>
/
der	w4568
gwinnt	w4569
<g/>
/
und	w4571
folgenden	w4572
9	w4573
<g/>
.
Numern	w4575
<g/>
.
Dann	w4577
5000	w4578
<g/>
.
fl	w4580
<g/>
.
auf	w4582
Num	w4583
<g/>
.
55491	w4585
<g/>
.
Dev	w4587
<g/>
.
Ryssel	w4589
<g/>
.
10000	w4591
<g/>
.
fl	w4593
<g/>
.
auf	w4595
Num	w4596
<g/>
.
9370	w4598
<g/>
.
Dev	w4600
<g/>
.
Es	w4602
sey	w4603
gleich	w4604
tausend	w4605
oder	w4606
mehr	w4607
<g/>
/
den	w4609
Armen	w4610
ich	w4611
davon	w4612
verehr	w4613
<g/>
.
10000	w4615
<g/>
.
fl	w4617
<g/>
.
auf	w4619
Num	w4620
<g/>
.
368	w4622
<g/>
.
Dev	w4624
<g/>
.
Roß	w4626
und	w4627
Wagen	w4628
<g/>
.
</p>
<head id="hl18">
Dienstag	w4630
<g/>
/
den	w4632
3	w4633
<g/>
.
Septemb	w4635
<g/>
.
</head>
<p id="p53">
Vor	w4637
<g/>
=
Mittag	w4639
1000	w4640
<g/>
.
fl	w4642
<g/>
.
auf	w4644
Num	w4645
<g/>
.
89185	w4647
<g/>
.
Dev	w4649
Das	w4650
Mittel	w4651
ist	w4652
gut	w4653
<g/>
.
1000	w4655
<g/>
.
fl	w4657
<g/>
.
auf	w4659
Num	w4660
<g/>
.
38943	w4662
<g/>
.
Dev	w4664
<g/>
.
Francia	w4666
<g/>
.
5000	w4668
<g/>
.
fl	w4670
<g/>
.
auf	w4672
Num	w4673
<g/>
.
71666	w4675
<g/>
.
Dev	w4677
<g/>
.
GOtt	w4679
gebs	w4680
<g/>
.
1000	w4682
<g/>
.
fl	w4684
<g/>
.
auf	w4686
Num	w4687
<g/>
.
77403	w4689
<g/>
.
Dev	w4691
<g/>
.
Meiland	w4693
<g/>
.
2000	w4695
<g/>
.
fl	w4697
<g/>
.
auf	w4699
Num	w4700
<g/>
.
16502	w4702
<g/>
.
Dev	w4704
<g/>
.
Constantiâ	w4706
<g/>
&
Fortitudine	w4708
<g/>
.
</p>
<p id="p54">
Nach	w4710
<g/>
=
Mittag	w4712
<g/>
/
50000	w4714
<g/>
.
fl	w4716
<g/>
.
auf	w4718
Num	w4719
<g/>
.
19323	w4721
Dev	w4722
<g/>
.
Die	w4724
Hofnung	w4725
<g/>
.
2000	w4727
<g/>
.
fl	w4729
<g/>
.
auf	w4731
Num	w4732
<g/>
.
61084	w4734
<g/>
.
Dev	w4736
<g/>
.
Das	w4738
Ende	w4739
das	w4740
Beste	w4741
<g/>
.
1000	w4743
fl	w4744
<g/>
.
auf	w4746
Num	w4747
<g/>
.
82182	w4749
<g/>
.
Dev	w4751
<g/>
.
Der	w4753
Anfang	w4754
ist	w4755
herr=lich	w4756
<g/>
=
<g/>
.
2000	w4759
<g/>
.
fl	w4761
<g/>
.
auf	w4763
Num	w4764
<g/>
.
64109	w4766
<g/>
.
Dev	w4768
<g/>
.
Jch	w4770
hoffe	w4771
grossen	w4772
Gewinn	w4773
<g/>
.
</p>
<head id="hl19">
Mittwoch	w4775
<g/>
/
den	w4777
4	w4778
<g/>
.
Septemb	w4780
<g/>
.
</head>
<p id="p55">
Vor	w4782
<g/>
=
Mittag	w4784
<g/>
/
2000	w4786
<g/>
.
fl	w4788
<g/>
.
auf	w4790
Num	w4791
<g/>
.
28245	w4793
<g/>
.
Dev	w4795
<g/>
.
Das	w4797
Vertrauen	w4798
<g/>
.
1000	w4800
<g/>
.
fl	w4802
<g/>
.
auf	w4804
Num	w4805
<g/>
.
91568	w4807
<g/>
.
Dev	w4809
<g/>
.
Es	w4811
muß	w4812
einmal	w4813
glüken	w4814
<g/>
.
5000	w4816
<g/>
.
fl	w4818
<g/>
.
auf	w4820
Num	w4821
<g/>
.
17881	w4823
<g/>
.
Dev	w4825
<g/>
.
Un	w4827
seul	w4828
me	w4829
souffit	w4830
<g/>
.
1000	w4832
fl	w4833
<g/>
.
auf	w4835
Num	w4836
<g/>
.
48249	w4838
<g/>
.
Dev	w4840
<g/>
.
Die	w4842
Emsigkeit	w4843
<g/>
.
</p>
<p id="p56">
Nach	w4845
<g/>
=
Mittag	w4847
<g/>
/
1000	w4849
<g/>
.
fl	w4851
<g/>
.
auf	w4853
Num	w4854
<g/>
.
50669	w4856
<g/>
.
Dev	w4858
<g/>
.
Fortuna	w4860
dormit	w4861
ad	w4862
tempus	w4863
<g/>
.
2000	w4865
<g/>
.
fl	w4867
<g/>
.
auf	w4869
Num	w4870
<g/>
.
6525	w4872
<g/>
.
Dev	w4874
<g/>
.
Constantiâ	w4876
<g/>
&
Forti-tudine	w4878
<g/>
-
<g/>
.
1000	w4881
<g/>
.
fl	w4883
<g/>
.
auf	w4885
Num	w4886
<g/>
.
82576	w4888
<g/>
.
Dev	w4890
<g/>
.
Tentare	w4892
licet	w4893
<g/>
.
</p>
<head id="hl20">
Donnerstag	w4895
<g/>
/
den	w4897
5	w4898
<g/>
.
Septemb	w4900
</head>
<p id="p57">
Vor	w4901
<g/>
=
Mittag	w4903
<g/>
/
1000	w4905
<g/>
.
fl	w4907
<g/>
.
auf	w4909
Num	w4910
<g/>
.
67268	w4912
<g/>
.
Dev	w4914
<g/>
.
Die	w4916
Großmütigkeit	w4917
<g/>
.
<g/>
/
1000	w4920
<g/>
.
fl	w4922
<g/>
.
auf	w4924
Num	w4925
<g/>
.
33180	w4927
<g/>
.
Dev	w4929
<g/>
.
Für	w4931
wenig	w4932
viel	w4933
<g/>
.
</p>
<p id="p58">
Nach	w4935
<g/>
=
Mittag	w4937
<g/>
/
5000	w4939
<g/>
.
fl	w4941
<g/>
.
auf	w4943
Num	w4944
<g/>
.
35898	w4946
<g/>
.
Dev	w4948
<g/>
.
Amira	w4950
Matrone	w4951
mio	w4952
Goa	w4953
<g/>
.
2000	w4955
<g/>
.
fl	w4957
<g/>
.
auf	w4959
Num	w4960
<g/>
.
35072	w4962
<g/>
.
Dev	w4964
<g/>
.
Was	w4966
gilts	w4967
<g/>
:
Und	w4969
1000	w4970
<g/>
.
fl	w4972
<g/>
.
wegen	w4974
des	w4975
letzten	w4976
Zugs	w4977
auf	w4978
Num	w4979
<g/>
.
73649	w4981
<g/>
.
Dev	w4983
<g/>
.
GOtt	w4985
gebs	w4986
<g/>
!
und	w4988
daran	w4989
folgenden	w4990
9	w4991
<g/>
.
Numern	w4993
<g/>
:
und	w4995
wurde	w4996
also	w4997
hiemit	w4998
die	w4999
Zie=hung	w5000
<g/>
=
der	w5002
37sten	w5003
Lotterie	w5004
ge	w5005
<g/>
=
endet	w5007
<g/>
.
</p>
<p id="p59">
Freytag	w5009
<g/>
/
den	w5011
6	w5012
<g/>
.
Dito	w5014
<g/>
/
beliebte	w5016
Jhrer	w5017
Kaiserl	w5018
<g/>
.
und	w5020
Königl	w5021
<g/>
.
Cathol	w5023
<g/>
.
Majestät	w5025
<g/>
/
dem	w5027
Allerhöchsten	w5028
Monarchen	w5029
<g/>
/
sich	w5031
mehrmalen	w5032
und	w5033
zwar	w5034
den	w5035
gantzen	w5036
Tag	w5037
mit	w5038
Hirsch	w5039
<g/>
=
Pür=sten	w5041
<g/>
=
in	w5043
der	w5044
Gegend	w5045
Asparn	w5046
zu	w5047
belustigen	w5048
<g/>
.
</p>
<head id="hl21">
NB	w5050
<g/>
.
</head>
<p id="p60">
Es	w5052
ist	w5053
den	w5054
4	w5055
<g/>
.
dieses	w5057
Monats	w5058
ein	w5059
Latei=nisch	w5060
<g/>
=
<g/>
=
geschribenes	w5063
in	w5064
schwartzen	w5065
Cordouan	w5066
eingebunden	w5067
<g/>
/
und	w5069
mit	w5070
Silber	w5071
beschlagenes	w5072
Bett	w5073
<g/>
=
Buch	w5075
entfreindet	w5076
worden	w5077
<g/>
/
in	w5079
welchem	w5080
ein	w5081
von	w5082
der	w5083
Feder	w5084
gerissenes	w5085
Wäppel	w5086
nebst	w5087
einer	w5088
Dedication	w5089
eingebunden	w5090
<g/>
/
in	w5092
dem	w5093
Buch	w5094
aber	w5095
verschiedene	w5096
kostbare	w5097
Bilder	w5098
<g/>
/
als	w5100
nem=lichen	w5101
<g/>
=
S	w5103
<g/>
.
Francisci	w5105
Seraphici	w5106
<g/>
,
S	w5108
<g/>
.
Joannis	w5110
Nepomuceni	w5111
<g/>
,
S	w5113
<g/>
.
Anna	w5115
<g/>
,
&c	w5117
<g/>
.
sich	w5119
befinden	w5120
<g/>
:
wer	w5122
hiervon	w5123
eine	w5124
Wissenschaft	w5125
hat	w5126
<g/>
/
wird	w5128
gebetten	w5129
<g/>
/
solches	w5131
dem	w5132
Verleger	w5133
dieser	w5134
Zeitun=gen	w5135
<g/>
=
anzuzeigen	w5137
<g/>
/
solle	w5139
darfür	w5140
eine	w5141
gute	w5142
Di-scretion	w5143
<g/>
-
überkommen	w5145
<g/>
.
</p>
<head id="hl22">
NB	w5147
<g/>
.
</head>
<p id="p61">
Zwey	w5149
mit	w5150
sehr	w5151
schönen	w5152
Kästen	w5153
<g/>
/
von	w5155
Nuß Nußbaumen	w5156
<g/>
=
</p>
<p id="p62">
baumen	w5160
<g/>
=
Holz	w5162
<g/>
/
extra	w5164
-feine	w5165
Arbeit	w5166
<g/>
/
und	w5168
stark	w5169
vergoldeten	w5170
Beschlag	w5171
<g/>
/
und	w5173
Schnitz=werk	w5174
<g/>
=
versehene	w5176
Positivs	w5177
<g/>
,
oder	w5179
kleine	w5180
Or=geln	w5181
<g/>
=
<g/>
/
eines	w5184
zu	w5185
6	w5186
<g/>
.
<g/>
/
das	w5189
andere	w5190
zu	w5191
3	w5192
<g/>
.
sehr	w5194
scharf	w5195
und	w5196
wol	w5197
<g/>
=
klingenden	w5199
Registern	w5200
<g/>
/
auf	w5202
dem	w5203
Lande	w5204
in	w5205
einer	w5206
Kirche	w5207
<g/>
/
oder	w5209
Capelle	w5210
zu	w5211
gebrauchen	w5212
<g/>
/
werden	w5214
zum	w5215
Verkauf	w5216
gege=ben	w5217
<g/>
=
<g/>
/
und	w5220
können	w5221
von	w5222
denen	w5223
Liebhabern	w5224
täglich	w5225
besehen	w5226
werden	w5227
bey	w5228
denen	w5229
3	w5230
<g/>
.
Lauf=fern	w5232
<g/>
=
<g/>
/
denen	w5235
Michaelern	w5236
gegen	w5237
über	w5238
im	w5239
an=dern	w5240
<g/>
=
Stok	w5242
<g/>
.
</p>
<head id="hl23">
NB	w5244
<g/>
.
</head>
<p id="p63">
Es	w5246
wird	w5247
zu	w5248
wissen	w5249
gemacht	w5250
<g/>
/
daß	w5252
den	w5253
künftigen	w5254
Montag	w5255
<g/>
/
als	w5257
den	w5258
9ten	w5259
Septemb	w5260
<g/>
.
vor	w5262
<g/>
=
Mittag	w5264
um	w5265
9	w5266
<g/>
.
<g/>
/
nach	w5269
<g/>
=
Mittag	w5271
aber	w5272
um	w5273
halber	w5274
3	w5275
<g/>
.
Uhr	w5277
des	w5278
weil	w5279
<g/>
.
Herrn	w5281
Doctoris	w5282
Wallisch	w5283
sel	w5284
<g/>
.
Verlassenschafts	w5286
Effecten	w5287
in	w5288
dem	w5289
Neuberger	w5290
<g/>
=
Hof	w5292
in	w5293
dritten	w5294
Stok	w5295
<g/>
/
al=wo	w5297
<g/>
=
der	w5299
Aufgang	w5300
rechter	w5301
Hand	w5302
im	w5303
Hof	w5304
ist	w5305
<g/>
/
dem	w5307
Meistbietenden	w5308
verkauffet	w5309
werden	w5310
sol=in	w5311
<g/>
=
<g/>
/
worzu	w5314
die	w5315
Liebhaber	w5316
freundlichst	w5317
ein=geladen	w5318
<g/>
=
seyn	w5320
<g/>
.
</p>
<head id="hl24">
Lista	w5322
deren	w5323
Verstorbenen	w5324
zu	w5325
Wien	w5326
<g/>
/
in	w5328
und	w5329
vor	w5330
der	w5331
Stadt	w5332
<g/>
.
</head>
<head id="hl25">
Den	w5334
4	w5335
<g/>
.
September	w5337
1726	w5338
<g/>
.
</head>
<head id="hl26">
Jn	w5340
der	w5341
Stadt	w5342
niemand	w5343
<g/>
.
</head>
<head id="hl27">
Vor	w5345
der	w5346
Stadt	w5347
<g/>
.
</head>
<list id="">
Dem	w5349
Joh	w5350
<g/>
.
Lieb	w5352
<g/>
/
Tappezierern	w5354
<g/>
/
s	w5356
<g/>
.
K	w5358
<g/>
.
Mart	w5360
<g/>
.
<g/>
/
im	w5363
Luft=schützischen	w5364
<g/>
=
H	w5366
<g/>
.
auf	w5368
der	w5369
Wendlstatt	w5370
<g/>
/
alt	w5372
1	w5373
<g/>
.
J	w5375
<g/>
.
Dem	w5377
Joh	w5378
<g/>
.
Greis	w5380
<g/>
/
Schneidern	w5382
<g/>
/
s	w5384
<g/>
.
K	w5386
<g/>
.
Eva	w5388
<g/>
/
im	w5390
Oele=rischen	w5391
<g/>
=
H	w5393
<g/>
.
im	w5395
Liechtenthal	w5396
<g/>
/
alt	w5398
6	w5399
<g/>
.
Viertl	w5401
J	w5402
<g/>
.
Joh	w5404
<g/>
.
Hürsch	w5406
<g/>
/
Lakey	w5408
<g/>
/
im	w5410
Probstisch	w5411
<g/>
.
H	w5413
<g/>
.
in	w5415
der	w5416
Leopold=stadt	w5417
<g/>
=
<g/>
/
alt	w5420
55	w5421
<g/>
.
J	w5423
<g/>
.
Dem	w5425
